-0.49852877 -0.21589744 -0.08807365 -0.05946502|-0.49852877 -0.21589744 -0.49852877 -0.49852877|-0.49852877  0.00262696 -0.01466427  0.03587338 -0.06203312  0.04199568  0.05397245,-0.21589744  0.0130043   0.01085135  0.02623391  0.05266132  0.01839824 -0.00826935
0.04878051 0.28065365 0.0757728  0.05464735|0.04878051 0.28065365 0.04878051 0.04878051| 0.04878051  0.00135583 -0.00419634 -0.01275212 -0.05599015 -0.05668785  0.03202741, 0.28065365 -0.00886834  0.01069499 -0.05151724 -0.00040468 -0.0251365 -0.00786964
0.1148485  0.14293634 0.10530184 0.08248279|0.1148485  0.14293629 0.1148485  0.1148485 | 0.1148485   0.07809451  0.03566896 -0.03103673 -0.03325199  0.04135906 -0.03389015,0.14293629 0.03288969 0.04755545 0.03243879 0.03879834 0.00396246 0.04317662
-0.37985114  0.2121956  -0.05958203 -0.06856365|-0.37985114  0.21219559 -0.37985114 -0.37985114|-0.37985114 -0.00722542  0.02805184 -0.01754618 -0.01700725 -0.05303617  0.01902077, 0.21219559  0.00857133  0.00756172 -0.00392059 -0.05358279  0.04940905  0.02420026
-1.12201409  0.03186572 -0.04348833 -2.50659264|-1.12201471 -0.20469497 -1.12201471 -1.12201471|-1.12201471  0.0099563   0.00326922  0.01465493 -0.02361838  0.03805306  0.01297201,-0.20469497 -0.02145848  0.04158677 -0.0180053   0.01615616 -0.01737544  0.05069836
 0.16790989 -0.49180481  0.07356995  0.08288586| 0.16790988 -0.49180481  0.16790988  0.16790988| 0.16790988 -0.01558839 -0.02613368 -0.00861993 -0.0593224   0.02264988 -0.0404411 ,-0.49180481 -0.00830875 -0.05335536  0.0153209  -0.05037383  0.01184785 -0.04720118
-0.3278496   0.07314924 -0.07208161 -0.04563258|-0.3278496   0.07314923 -0.3278496  -0.3278496 |-0.3278496   0.01553941 -0.00364498 -0.00590682  0.03923693  0.02049076 -0.0707017 , 0.07314923 -0.01369395 -0.00066226 -0.03802836 -0.02297134  0.01626114 -0.00039083
-0.28362563  0.25447393 -0.07899172 -0.10690862|-0.28362563  0.25447393 -0.28362563 -0.28362563|-0.28362563 -0.01936772  0.04783152  0.04080586 -0.00515339  0.05516433  0.00252695, 0.25447393  0.01371488  0.03837914  0.00332564  0.10178343  0.01534348 -0.03360649
-0.30449192 -0.62428236 -0.05617579 -0.06042504|-0.30449191 -0.62428236 -0.30449191 -0.30449191|-0.30449191  0.01485333  0.02035773 -0.02883908  0.01272477 -0.04659798 -0.01507584,-6.24282360e-01 -1.99159589e-02  1.09263973e-03  3.87581793e-02 -6.16787547e-03 -4.76655193e-04 -5.35459739e-02
0.41249139 0.05303551 0.06925856 0.06392904|0.41249139 0.05303548 0.41249139 0.41249139| 0.41249139  0.05460479  0.02401763 -0.00057987  0.0133037  -0.03320417 -0.02202052, 0.05303548  0.02741006  0.04672033 -0.00807282 -0.03463894 -0.00627733 -0.00787723
