0.17127235 1.18634799 0.0757311  0.06653987|0.1712723  1.18634799 0.1712723  0.1712723 | 0.1712723   0.0099356   0.02440702  0.05134313 -0.04820511  0.01271709  0.00453588, 1.18634799 -0.03734032 -0.00546891  0.01582884  0.03361871  0.0149373 -0.03871281
-0.2527481  -0.2371897  -0.06496651 -0.07277679|-0.25274811 -0.23718968 -0.25274811 -0.25274811|-0.25274811 -0.06246613  0.00300455  0.01527204  0.00281042  0.00427174  0.00762238,-0.23718968 -0.03760529  0.00488289  0.02690322  0.00826566  0.04634224  0.03258553
 0.50910682 -0.62161064 -0.08552485 -0.10672716| 0.50910683 -0.62161065  0.50910683  0.50910683| 0.50910683  0.06154384  0.02634777 -0.01421026  0.00201335  0.00592216 -0.05214072,-0.62161065 -0.02835016 -0.00593318  0.00692659 -0.09873962 -0.02432028  0.01978483
0.97559974 0.15220323 0.09613752 0.07979584|0.97559974 0.15220135 0.97559974 0.97559974| 0.97559974  0.03552495  0.06976796  0.02590582 -0.04543498 -0.01794686  0.01147039, 0.15220135  0.01848042  0.03265809  0.01528474  0.00205889  0.06944008 -0.00983347
 0.04109547 -0.06075904  0.04747642  0.10330262| 0.04109546 -0.06075906  0.04109546  0.04109546| 0.04109546 -0.00106475  0.03780666 -0.02545182 -0.01060795  0.00319915  0.00845811,-0.06075906 -0.0193829   0.02185306 -0.00533893 -0.03246172 -0.09300046  0.02156498
0.14827036 0.17960837 0.03824003 0.1076988 |0.14827036 0.17960837 0.14827036 0.14827036| 0.14827036 -0.03126585  0.00798827 -0.00834043 -0.01362269  0.01319915  0.00192868, 0.17960837 -0.00259842 -0.01836401 -0.04118734  0.07104039  0.06576606 -0.0224506 
-0.1087231  -0.11980227 -0.06379576 -0.09473986|-0.10872314 -0.11980089 -0.10872314 -0.10872314|-0.10872314 -0.00188372 -0.05311742  0.00692885  0.00440784 -0.02414955  0.02550167,-0.11980089  0.00065343 -0.06925297 -0.00241813 -0.02962185 -0.05588726 -0.01806025
0.20150079 0.3471679  0.09482167 0.08448403|0.20150082 0.3471679  0.20150082 0.20150082| 0.20150082 -0.01427132 -0.05472486  0.03952447  0.01358103  0.05265141 -0.0385356 , 0.3471679  -0.03315565  0.02884987  0.02281304 -0.02334368  0.06528634 -0.00813107
 0.20754543 -0.45961279  0.04580561  0.0802071 | 0.20754542 -0.45961279  0.20754542  0.20754542| 0.20754542 -0.02413972 -0.02483732 -0.00188307 -0.00769826 -0.00868087  0.02829532,-0.45961279  0.03369066 -0.03222625  0.02504348 -0.05361564 -0.01637077  0.02431805
-1.20936613  0.52877511 -0.09498607 -0.08143242|-1.20936613  0.52877511 -1.20936613 -1.20936613|-1.20936613 -0.04554589 -0.06121017  0.01845994 -0.03309451  0.03187703  0.02930873, 0.52877511 -0.00719215  0.00102383 -0.01347792  0.05467297  0.03402823  0.04963224
-0.41583896  0.0438495   0.06356463 -0.06186904|-0.41583896  0.04384924 -0.41583896 -0.41583896|-0.41583896 -0.04277747 -0.02245193 -0.00668211  0.01952933 -0.0246382  0.02719161, 0.04384924  0.03086113 -0.00078233 -0.00018321 -0.02402029  0.01267078 -0.04748267
0.85827251 0.14052322 0.05383589 0.76472157|0.85827458 0.35258132 0.85827458 0.85827458| 0.85827458  0.02617785  0.01786224 -0.04263345 -0.003686    0.00864633  0.00502768, 0.35258132 -0.03976345  0.01448692  0.01637786 -0.03080901 -0.00765775 -0.01170958
-0.22277157 -0.09666545 -0.03838066 -0.06833484|-0.22277157 -0.09666572 -0.22277157 -0.22277157|-0.22277157 -0.00245502  0.01724068 -0.00269749  0.02046259 -0.01643553  0.02271946,-0.09666572 -0.00013504 -0.04260423 -0.03315978 -0.03524864 -0.00649064 -0.02319689
-0.05523578 -0.04909131 -0.07442317 -0.09279811|-0.05523576 -0.04909133 -0.05523576 -0.05523576|-0.05523576  0.03102395 -0.02772341 -0.0228454   0.05564125 -0.01100999 -0.01234451,-0.04909133  0.02359727  0.0178737   0.08664101 -0.01082468 -0.01067774  0.01176325
-0.585411    0.53850193 -0.07446108 -0.11127589|-0.585411    0.53850192 -0.585411   -0.585411  |-0.585411   -0.02108635  0.02869108  0.0161844  -0.05898643  0.01126667 -0.02261445, 0.53850192 -0.01190623  0.01974661  0.10381505  0.02026429 -0.00195505 -0.02984083
 0.25390824 -0.29362156  0.07710212  0.08256051| 0.25390825 -0.29362155  0.25390825  0.25390825| 0.25390825  0.0591264   0.00550028 -0.00261282 -0.04007367  0.01707776 -0.02417774,-0.29362155 -0.04326024  0.00420739  0.04122348  0.03478045 -0.03629929 -0.02897855
0.15912851 0.06053024 0.09026777 0.08540629|0.1591285  0.06053039 0.1591285  0.1591285 | 0.1591285  -0.00354563 -0.06262187  0.0070279  -0.05030823 -0.02152808 -0.03607994, 0.06053039  0.00677723  0.06618204  0.05093703 -0.00946301  0.00922605  0.01243345
 0.00307597 -0.1522974   0.06520549  0.06670342| 0.00307594 -0.1522974   0.00307594  0.00307594| 0.00307594 -0.03784797  0.0323827  -0.03462556  0.02191772  0.00928441  0.00628274,-0.1522974  -0.0189752  -0.01001894  0.02116719  0.05788916  0.00833797 -0.01427818
 0.20355291 -0.44354638  0.06779842  0.08006279| 0.20355288 -0.44354638  0.20355288  0.20355288| 0.20355288 -0.02027982  0.00943777  0.04478153 -0.03567245  0.01421387  0.02678884,-0.44354638  0.01105803 -0.00928704  0.06312228  0.02210844  0.03114918  0.03022476
-0.13444963  0.40094403 -0.06117298 -0.06519821|-0.13444963  0.40094403 -0.13444963 -0.13444963|-0.13444963  0.01769982 -0.04436903  0.03309262 -0.01257281 -0.01456741  0.00539517, 0.40094403 -0.01581459 -0.01137426  0.01885484  0.01493536  0.04834064 -0.03325204
-5.81943125e-01  9.96265461e-08 -7.75519055e-02 -1.87921906e+00|-0.58194334 -0.08631979 -0.58194334 -0.58194334|-0.58194334  0.06524289  0.02825148 -0.020953    0.0067743   0.00331169 -0.02226238,-0.08631979 -0.01040275  0.00334405 -0.02711033  0.00177282  0.00338914  0.00657995
-0.20357254  0.75538344 -0.09441678 -0.08330859|-0.20357254  0.75538344 -0.20357254 -0.20357254|-0.20357254 -0.00601811  0.00133517  0.07683117  0.03320406  0.0247614  0.03842332, 0.75538344  0.05775608  0.01130937  0.00077161 -0.04330369  0.01011938  0.04007696
0.19909248 0.26500873 0.04695883 0.05608094|0.19909248 0.26500873 0.19909248 0.19909248| 0.19909248  0.02398839 -0.00394344  0.03881175 -0.00716754 -0.00814795  0.00466525, 0.26500873 -0.00118389 -0.0355677   0.00661829  0.02382093  0.0172124 -0.03224681
-0.19317782  0.27347896 -0.05850314 -0.08914088|-0.19317781  0.27347896 -0.19317781 -0.19317781|-0.19317781 -0.00754184  0.01510071  0.02241386  0.03996134 -0.01129263 -0.03165252, 0.27347896 -0.06908389 -0.00483686  0.00134365  0.03502375  0.02423301  0.03794835
0.79937828 0.09704965 0.08825372 0.09047761|0.79937828 0.09704934 0.79937828 0.79937828| 0.79937828 -0.02596941  0.05297447  0.0402716   0.04309585  0.02887436  0.01008802, 0.09704934  0.06772838  0.04636155 -0.01273113  0.01850609 -0.00353113 -0.03133819
-0.41924321 -0.12367046  0.03664718 -0.07948298|-0.41924321 -0.12367227 -0.41924321 -0.41924321|-0.41924321  0.01095484  0.01887721 -0.00112068 -0.02422601 -0.0068902  0.01601351,-0.12367227 -0.00630412 -0.02915267 -0.05541674  0.01560471 -0.03880182 -0.02750716
 1.06203618 -0.45081635  0.05589939  0.12263513| 1.06203618 -0.45081635  1.06203618  1.06203618| 1.06203618 -0.00512051 -0.02122877  0.02888437  0.03144456  0.02928156 -0.00620528,-0.45081635  0.06505696 -0.04240022 -0.03517256  0.0533439  -0.06594512  0.02928698
-0.67283006  0.68193217 -0.07186906 -0.08575227|-0.67283004  0.68193215 -0.67283004 -0.67283004|-0.67283004 -0.01467849 -0.06479677 -0.00822678  0.02233444  0.01433412 -0.00132353, 0.68193215  0.03387417 -0.06169108 -0.0026438   0.01998644  0.04190032 -0.01809739
0.36951423 0.27941827 0.06420795 0.09993195|0.36951423 0.27941827 0.36951423 0.36951423| 0.36951423 -0.04214965 -0.00646832  0.0366339  -0.00242324 -0.01829905  0.02626631, 0.27941827  0.00734407 -0.02790237  0.07082761  0.06540915  0.0053563 -0.00054883
 0.39553036 -0.7286353   0.06185773 -0.06220135| 0.39553036 -0.7286353   0.39553036  0.39553036| 0.39553036 -0.02304723  0.01200497 -0.00542579  0.0453022   0.03266524 -0.00952888,-0.7286353  -0.0106433   0.00720415 -0.02764934 -0.00278669 -0.03393964 -0.04383958
-0.53436592  0.10276401  0.06173086  0.09420805|-0.53436592  0.10276568 -0.53436592 -0.53436592|-0.53436592  0.03319718 -0.01424703  0.00566093  0.01453281 -0.00174568  0.04868277,0.10276568 0.01740023 0.02549261 0.06631109 0.0033215  0.00375333 0.06114213
 0.08343392 -0.29689971  0.1171029   0.05102728| 0.08343385 -0.29689971  0.08343385  0.08343385| 0.08343385  0.00717439 -0.01841202  0.06711669 -0.06852067  0.0656289 -0.01303568,-0.29689971  0.02324886  0.01893059  0.04036976 -0.000996   -0.00474457  0.0091515 
0.13047756 0.62673143 0.05269611 0.05674941|0.13047759 0.62673143 0.13047759 0.13047759| 0.13047759  0.01650771 -0.00200165 -0.01713493  0.03090106 -0.0336744 -0.01401822, 0.62673143 -0.03254042  0.00092659  0.02299657  0.03824987 -0.00872395 -0.01175671
-0.01086772 -0.51822497 -0.07490333 -0.07146597|-0.01086747 -0.51822497 -0.01086747 -0.01086747|-0.01086747 -0.02311773  0.02182254  0.02269683 -0.04474657  0.0389042 -0.02652219,-0.51822497  0.04832533 -0.04389059  0.00306959 -0.01386518 -0.00587779  0.02531362
 0.48546728 -0.06844267  0.0761145  -0.70562071|0.4854689  0.22460674 0.4854689  0.4854689 | 0.4854689   0.05178942 -0.02681089  0.01637107 -0.00718187 -0.04440814 -0.01394227, 0.22460674  0.04702909 -0.00089216  0.03451874 -0.01454824  0.02782903  0.04271216
 0.75152603 -0.62620882  0.08643696  0.0487412 | 0.75152603 -0.62620882  0.75152603  0.75152603| 0.75152603  0.02697604  0.02295763 -0.0456491   0.03254386 -0.02202575 -0.05283405,-0.62620882 -0.01774382  0.00395464  0.00549512  0.03438758  0.01158986  0.02756544
-0.53474696 -0.69509654 -0.04749396 -0.06650847|-0.53474696 -0.69509654 -0.53474696 -0.53474696|-0.53474696 -0.02367086  0.0271026   0.03029696 -0.00691561 -0.00301929 -0.00218886,-0.69509654 -0.04110974  0.03619976  0.00691263  0.03439172 -0.00173276 -0.0148838 
-0.57419381 -0.59788972 -0.05524716  0.06103901|-0.57419381 -0.59788972 -0.57419381 -0.57419381|-0.57419381  0.04490003 -0.00155457 -0.02054994 -0.0194846   0.0033216 -0.01573453,-0.59788972  0.03465469  0.01333601  0.03816585  0.00375593 -0.03059388 -0.00106877
-0.62769867  0.76912096 -0.07391418 -0.04318357|-0.62769867  0.76912096 -0.62769867 -0.62769867|-0.62769867 -0.04623243  0.03233748 -0.00590858 -0.02813607 -0.03867237  0.00605412, 7.69120963e-01  1.74065507e-02  3.09226604e-02 -1.15999560e-02 -5.41304997e-03  2.15039106e-02 -1.82807215e-04
 0.46894811 -0.5116715  -0.06445785 -0.07335879| 0.46894811 -0.5116715   0.46894811  0.46894811| 4.68948115e-01 -3.65048714e-02 -4.34113623e-02  7.22498882e-03 -3.41299460e-04  2.92694592e-02  8.27216704e-03,-0.5116715   0.04767228  0.03267603 -0.00935461 -0.00227071  0.0433202  0.01230978
-0.25917058  0.13721438 -0.10182558 -0.1114056 |-0.25917057  0.13721683 -0.25917057 -0.25917057|-0.25917057  0.07378611 -0.01075673  0.05771149  0.02406044  0.01286009 -0.02914466, 0.13721683 -0.04049794  0.03021415  0.04690489  0.03089604  0.0616958 -0.05693542
0.06017771 0.11687266 0.04980575 0.0554569 |0.06017772 0.11687259 0.06017772 0.06017772| 0.06017772  0.01243346 -0.0412207   0.00320072  0.00295139  0.00730324 -0.02417791, 0.11687259  0.01118527 -0.01620933 -0.04668631 -0.00418876 -0.02340471 -0.00134736
0.32611153 0.52777828 0.08594785 0.09384522|0.32611155 0.52777829 0.32611155 0.32611155| 0.32611155 -0.00304617  0.00399783 -0.00825926 -0.03717269  0.0573636 -0.05395793, 0.52777829  0.00764607 -0.01707768 -0.01201068 -0.02838811 -0.00305955 -0.08865552
0.22202375 0.83748474 0.09400195 0.09066375|0.22202376 0.83748474 0.22202376 0.22202376| 0.22202376  0.03841432 -0.03598216  0.03324606 -0.03291981  0.05932139 -0.02379533, 0.83748474 -0.02694668 -0.0567041   0.0064701   0.05546367  0.01342656 -0.03308318
 0.39104797  0.58486831  0.07829224 -0.09520772|0.39104796 0.5848683  0.39104796 0.39104796| 0.39104796  0.01456103 -0.04494221 -0.02818772 -0.0081406  -0.04252846  0.03713371, 0.5848683  -0.07402941 -0.02557365  0.03626216 -0.03560966  0.00406841 -0.01976893
0.13684758 0.33965966 0.09084438 0.07887726|0.13684753 0.33965966 0.13684753 0.13684753| 0.13684753 -0.00409713  0.03138054  0.05048152  0.01384888 -0.05171672 -0.04567053, 0.33965966 -0.03114114 -0.00827295  0.00659539 -0.05986161  0.00779483  0.04048244
0.18638298 0.1443848  0.09100645 0.08190523|0.18638297 0.14438515 0.18638297 0.18638297| 0.18638297  0.0421387  -0.00637114  0.0157058  -0.04785983  0.00294513  0.0644666 , 0.14438515  0.00963958 -0.03479785 -0.00781344  0.00701737  0.0709231 -0.02198779
-0.06001342 -0.11661166 -0.05315173 -0.06340063|-0.06001346 -0.11661135 -0.06001346 -0.06001346|-0.06001346  0.00146127 -0.00116146 -0.03104463  0.00072486 -0.04391918  0.00489022,-0.11661135 -0.02153007 -0.02391232 -0.00445607  0.02499045 -0.04942756  0.00210799
4.84958266e-01 3.34031785e-05 8.17073738e-02 1.61435385e+00|4.84958264e-01 3.38334653e-04 4.84958264e-01 4.84958264e-01| 0.48495826  0.01579666  0.02625735  0.00231799 -0.07470374 -0.00988673  0.01334208, 0.00033833 -0.00571581 -0.00670836  0.00413533 -0.05812157 -0.01852899 -0.00601974
-0.41527124 -0.25215374  0.04705459  0.06607381|-0.41527124 -0.25215373 -0.41527124 -0.41527124|-0.41527124  0.00542564 -0.02545031  0.02460027 -0.02061744 -0.02082747 -0.01073943,-0.25215373  0.05233695  0.01681732  0.02648875  0.01095149 -0.00521268 -0.02305436
 0.38027268 -0.29490596  0.06888885  0.13969932| 0.38027269 -0.29490596  0.38027269  0.38027269| 0.38027269  0.04694447 -0.01109532  0.02165896 -0.03487088  0.01155159 -0.02585987,-0.29490596 -0.07171179 -0.01191561 -0.05363034  0.0760323   0.06072603  0.04783196
-0.38040588 -0.3189214  -0.08603402 -0.09713   |-0.38040589 -0.3189214  -0.38040589 -0.38040589|-0.38040589  0.00148428  0.01439489  0.0556387   0.02405681  0.04744359  0.03861279,-0.3189214   0.01190816  0.00494237 -0.01317983  0.04640476  0.07198745  0.04579857
 0.33066319 -0.4157666   0.09333925  0.09173435| 0.33066321 -0.41576661  0.33066321  0.33066321| 0.33066321 -0.02110309  0.05771381  0.03219073 -0.00950826 -0.05526297 -0.03070308,-0.41576661  0.05819133 -0.01463873 -0.03496792 -0.00084758  0.04490831  0.0418115 
 0.20346733 -0.49957198  0.08783728  0.04705312| 0.20346731 -0.49957198  0.20346731  0.20346731| 0.20346731 -0.04590109  0.06096741  0.00793821  0.03723505  0.00345767  0.02199649,-0.49957198 -0.02860204  0.00574677  0.00784244 -0.01916663  0.00713839  0.03055034
-0.12127576 -0.61786767 -0.0383765  -0.06122544|-0.12127574 -0.61786767 -0.12127574 -0.12127574|-0.12127574  0.01118386  0.02304415  0.00544916  0.02297226  0.00931812  0.01399671,-0.61786767  0.02773609 -0.01826426  0.00886    -0.03404338  0.03487629 -0.01656497
0.94802225 0.06073717 0.05814844 0.78955766|0.94802325 0.2434384  0.94802325 0.94802325| 9.48023247e-01 -4.14361714e-04  2.69668091e-02 -3.63012950e-02  2.63174672e-02  2.62307771e-02 -4.68711026e-03, 0.2434384  -0.0022389  -0.00678416  0.03504756 -0.01714708  0.01350884 -0.01639915
