-0.20471342  0.29621014 -0.06292042 -0.07305546|-0.20472524  0.29620482 -0.20472524 -0.20472524|-0.20472524  0.00371591 -0.02260754 -0.02944696  0.03646932 -0.03591915  0.00653428, 0.29620482  0.00909775  0.00173521  0.04851387 -0.02849739  0.0472122 -0.00093687
0.09072286 0.03710415 0.06772807 0.04531809|0.09072263 0.03710421 0.09072263 0.09072263| 0.09072263 -0.00979558 -0.00989482  0.00941143 -0.02550577  0.02835905  0.05506118, 0.03710421 -0.03350194 -0.00636496  0.01771875  0.00763843 -0.0232535 -0.00219273
-0.39572179  0.86069727 -0.06940292 -0.03844904|-0.39572221  0.86069727 -0.39572221 -0.39572221|-0.39572221  0.01968923  0.02731802  0.05224056 -0.0274949   0.01632242 -0.00268357, 0.86069727 -0.01205147 -0.03117495 -0.01170319 -0.01127057  0.00234692  0.010052  
-0.1172105   0.4372047  -0.10358682 -0.07811888|-0.11721029  0.43720466 -0.11721029 -0.11721029|-0.11721029 -0.0091712   0.00591235 -0.08516233  0.01789486 -0.00344492 -0.05754308, 0.43720466 -0.05346507  0.02720769  0.03425429  0.00985469 -0.02979319 -0.0204519 
-0.13774537  0.11917485 -0.07937305 -0.07477503|-0.13775262  0.1191598  -0.13775262 -0.13775262|-0.13775262  0.00437777 -0.01886719 -0.03714166 -0.01023546 -0.01183464  0.06733966, 0.1191598  -0.03503173 -0.02855043 -0.00952289  0.01632059 -0.0369311 -0.04444633
-0.59813072 -0.57962936  0.05509028  0.09246154|-0.59813073 -0.57962937 -0.59813073 -0.59813073|-0.59813073  0.00915667  0.03871783  0.00220578  0.02077027 -0.02736835 -0.01791149,-0.57962937 -0.01755465 -0.01550869 -0.00992118  0.08046786  0.00526885  0.03995615
-0.03659716 -0.05016113 -0.07842024 -0.05342603|-0.036608   -0.05015608 -0.036608   -0.036608  |-0.036608   -0.03385763 -0.02016655 -0.04633197  0.00198574  0.04079785  0.03039178,-0.05015608  0.00037138 -0.04036177 -0.03198836 -0.01376136  0.00569372  0.00171622
-0.85111066  0.00799042 -0.09633492  0.08158391|-0.85111065  0.00798968 -0.85111065 -0.85111065|-8.51110652e-01 -3.20648415e-03  2.46759254e-02  2.06425781e-03  5.45868656e-04  9.26091340e-02  2.10210295e-02, 0.00798968 -0.05744081 -0.031194   -0.0350254  -0.02835325  0.00139186  0.02003497
0.37896568 0.09372245 0.07326551 0.28207824|0.37897608 0.25335999 0.37897608 0.37897608| 0.37897608 -0.01723625  0.00412375  0.02868037 -0.0172707  -0.01686841 -0.06206104, 0.25335999 -0.00869886 -0.01845951  0.02155161  0.0472925  -0.0037915  0.01229298
-0.86727865  0.85582805  0.03844189  0.04769053|-0.86727871  0.85582817 -0.86727871 -0.86727871|-8.67278709e-01  3.02885359e-02 -1.07542840e-02  4.97683280e-03 -1.93373888e-02 -6.70075148e-04 -7.49084049e-03,0.85582817 0.0267191  0.0192707  0.03098938 0.00214119 0.00752279 0.01393781
