 0.57384337 -0.57208524  0.03468861  0.07635279| 0.57384411 -0.57208582  0.57384411  0.57384411| 0.57384411 -0.00699475 -0.00423674  0.02268608 -0.01842704  0.01728302  0.00857331,-0.57208582  0.03353992 -0.0103526  -0.06491411 -0.01467981  0.01320341 -0.01073166
-0.03117125  0.08885951 -0.06102563 -0.04550936|-0.03114813  0.08885961 -0.03114813 -0.03114813|-0.03114813  0.05291592  0.01540337  0.02000116  0.00813185 -0.00155313  0.05449137, 0.08885961  0.01451516  0.03417859 -0.0226513  -0.01101911 -0.00767789  0.00702749
-0.45495374 -0.14817329  0.04818156 -0.0449993 |-0.45495344 -0.14817381 -0.45495344 -0.45495344|-0.45495344  0.03407315 -0.00625805  0.00867716  0.02916491  0.01465537  0.00262686,-0.14817381 -0.01754764 -0.00235327  0.00397794 -0.02049086  0.03692305 -0.00844556
0.2218696  0.51924338 0.09172894 0.07961275|0.22187491 0.51924266 0.22187491 0.22187491| 0.22187491 -0.00437434  0.07844687 -0.03634573  0.01760041 -0.0254551 -0.01137992, 0.51924266 -0.00450946 -0.05154535 -0.03171729  0.0513952  -0.00506711  0.00971349
-0.70736995 -1.17896246 -0.10293842 -0.06986599|-0.70736976 -1.17896247 -0.70736976 -0.70736976|-0.70736976  0.03138498 -0.07007648  0.02437829  0.06392993 -0.00551726  0.01568088,-1.17896247 -0.04308439  0.00796711  0.01338476  0.0397109   0.03357854 -0.04613801
-0.13491866  0.2259809  -0.10630261 -0.06597658|-0.13490961  0.22598105 -0.13490961 -0.13490961|-0.13490961  0.00117961 -0.06066624  0.03681636 -0.01270826  0.08053703  0.02488967, 0.22598105  0.00613901  0.06084672 -0.0004346  -0.00575848 -0.02317989  0.0318122 
-1.0477492   0.38018483 -0.05931268 -0.08348493|-1.04774921  0.38018094 -1.04774921 -1.04774921|-1.04774921  0.00247698  0.01039486  0.03552449 -0.04107012 -0.02148042 -0.02176033, 0.38018094 -0.05126925  0.05151185  0.0365823   0.0036091  -0.01849488  0.01527319
0.10640627 0.8319115  0.04652293 0.10896983|0.10640612 0.8319115  0.10640612 0.10640612| 0.10640612 -0.02966655  0.00503079  0.02185319  0.01424165 -0.02378428 -0.02597759, 0.8319115  -0.00842715  0.07980444  0.03385833 -0.06372352  0.0143423 -0.02859131
 0.09430654 -0.11645864  0.07262497  0.08738423| 0.09430605 -0.11645792  0.09430605  0.09430605| 0.09430605 -0.04004787  0.0420708  -0.03935881 -0.00639529  0.0055667  0.06092736,-0.11645792  0.04040513 -0.02788547 -0.05334944  0.04889583  0.00052434 -0.00825104
-0.75572254 -0.02098615 -0.0636766   0.08762425|-0.75572254 -0.0210383  -0.75572254 -0.75572254|-0.75572254 -0.00336334 -0.02147485  0.00335446  0.04563227  0.03951718 -0.02400977,-0.0210383   0.02604234 -0.0657541   0.00550946 -0.02191066 -0.04739029  0.01426823
 0.02748619  0.36323973 -0.07131736  0.09201618|0.02750133 0.36324012 0.02750133 0.02750133| 0.02750133 -0.01906203  0.02946351 -0.02043204  0.01486644  0.05852186  0.00443881, 0.36324012  0.01161561  0.00920294  0.05131896  0.06132292  0.04453413 -0.01855507
-0.97120264 -0.01981991 -0.06585196 -0.0764384 |-0.97120264 -0.0199815  -0.97120264 -0.97120264|-0.97120264 -0.00100616 -0.00731447  0.04136764  0.01679878 -0.04661288  0.05865262,-0.0199815   0.02608891 -0.01116641 -0.06538585  0.02329668  0.01150675 -0.00806969
-0.08993886 -0.19382419 -0.05173143 -0.05198336|-0.08993887 -0.19382409 -0.08993887 -0.08993887|-0.08993887  0.03339886 -0.00660237 -0.0367809  -0.008861   -0.00939076  0.00701438,-0.19382409 -0.00443228 -0.01096692 -0.04332666 -0.02355287 -0.00458789 -0.03887039
-0.21395337  0.86029492 -0.03742111 -0.0612218 |-0.2139531  0.8602949 -0.2139531 -0.2139531|-0.2139531   0.0048992  -0.0169498   0.01573974 -0.02274503 -0.01870951  0.00185923, 0.8602949   0.04119631  0.0273814   0.01854102 -0.0060476   0.03086178  0.02028742
-0.08515007 -0.00313199 -0.03815432 -0.03827821|-0.08515009 -0.0031385  -0.08515009 -0.08515009|-0.08515009  0.01694817 -0.00716395 -0.0298485   0.0124513  -0.00882745 -0.00094177,-0.0031385  -0.03088167  0.00801696  0.01156336  0.00814978  0.01573926 -0.01442507
0.1011376  0.33388249 0.03796141 0.10166055|0.10113765 0.3338825  0.10113765 0.10113765| 0.10113765  0.00812668 -0.01830577 -0.00667527  0.0054598  -0.03145312 -0.02381566, 0.3338825   0.00335622 -0.04551763 -0.02931626 -0.00947578  0.08709847  0.05337166
-0.21877903  0.2713576  -0.05983808 -0.11836093|-0.21877853  0.27135755 -0.21877853 -0.21877853|-0.21877853  0.01366496 -0.0053625  -0.03430769 -0.00454929  0.04748549 -0.02851744, 0.27135755  0.07268188 -0.00785489  0.08926517 -0.00979343  0.02384938 -0.03109043
-0.48128043 -0.07474838  0.05107723 -0.05180169|-0.48128072 -0.07474572 -0.48128072 -0.48128072|-0.48128072  0.00332024  0.02339755  0.00208384 -0.01657792  0.043005 -0.02449349,-0.07474572  0.01674671  0.03831025  0.02932216 -0.00674425  0.00262469  0.01717234
-0.83157246 -0.42103175 -0.07455154 -0.05054954|-0.83157262 -0.42102784 -0.83157262 -0.83157262|-0.83157262 -0.01508863 -0.05159733 -0.04721455  0.01124898 -0.01684373  0.02559962,-0.42102784 -0.02368694  0.02364492  0.02534896  0.00174422 -0.02808483 -0.02648739
-0.09114152  0.03479345 -0.04812343 -0.06684329|-0.09114154  0.03479162 -0.09114154 -0.09114154|-0.09114154  0.01231734  0.01367712 -0.03493639 -0.01271824 -0.00585341 -0.08608545, 0.03479162 -0.0224783  -0.04348993 -0.01140364  0.02105541 -0.03954957  0.02285911
 1.15257824  0.30908362  0.08700654 -0.04461249|1.15257824 0.30908293 1.15257824 1.15257824| 1.15257824  0.03941896  0.04922041  0.04152778 -0.02633901 -0.03544975  0.00999596, 0.30908293  0.02432093  0.02277784  0.00628056  0.0247884   0.01531285 -0.01140266
-0.7161699  -0.15607576 -0.03521411  0.07249949|-0.71616983 -0.15607285 -0.71616983 -0.71616983|-0.71616983  0.01801396 -0.00406068 -0.01943572 -0.00652153 -0.02069858 -0.03222387,-0.15607285  0.05202618  0.0184629   0.00261035  0.03152225 -0.02834497  0.07790682
0.20051246 0.32583006 0.11027191 0.08699476|0.20051714 0.32583084 0.20051714 0.20051714| 0.20051714  0.02326504 -0.0333114   0.02310216 -0.09118478 -0.04273629 -0.01139065, 0.32583084  0.04593488 -0.01783408 -0.03234277  0.00953132  0.06503142  0.02652942
 0.34975812 -0.24591505 -0.06578255 -0.08984547| 0.34975853 -0.24591972  0.34975853  0.34975853| 0.34975853  0.03977021  0.03878432  0.02085111  0.00271599 -0.02717405  0.03807641,-0.24591972 -0.01395678  0.05560676  0.05470684 -0.03713023  0.00738426  0.07007474
-0.36590052 -0.4993587   0.08505743 -0.10111635|-0.36589806 -0.49935489 -0.36589806 -0.36589806|-0.36589806 -0.00274091 -0.01072761  0.05774281  0.05650287  0.02463454 -0.02360647,-0.49935489  0.03845081  0.02268564 -0.00702365 -0.09060048 -0.00523079  0.00398479
 0.20990409 -0.00861269  0.04975448  0.0753742 | 0.20990414 -0.00862454  0.20990414  0.20990414| 0.20990414  0.00870726  0.01588646  0.01610573 -0.03236815  0.03002057 -0.00855947,-0.00862454 -0.00615678 -0.05345533  0.0149981   0.00374788  0.05180512 -0.01715113
-0.35968291  0.07810407  0.05714985 -0.0700922 |-0.35968304  0.07810817 -0.35968304 -0.35968304|-0.35968304  0.02201439  0.00174429  0.00813823 -0.00483141 -0.05239553  0.0405011 , 0.07810817  0.00484351 -0.02551051 -0.04669582 -0.03005374 -0.03516664 -0.01038895
-0.19746085  0.19869887 -0.06363962 -0.09615437|-0.19746008  0.19869699 -0.19746008 -0.19746008|-0.19746008 -0.02737142  0.01235273  0.03474148 -0.03583338 -0.02482504 -0.03445287, 0.19869699 -0.03817684 -0.00766998 -0.02297423 -0.00355221  0.08771999 -0.00316769
0.16105023 0.69861393 0.07547521 0.04950654|0.16104156 0.69861373 0.16104156 0.16104156| 0.16104156 -0.01481824  0.00569884  0.01045181 -0.06442822  0.03482003  0.03151632, 6.98613726e-01 -3.22047515e-04  1.03685195e-02  2.68012782e-02 -2.46254108e-02  3.23878162e-02  2.37281877e-02
0.09075645 0.92510341 0.07493986 0.05046409|0.09076248 0.92510342 0.09076248 0.09076248| 0.09076248  0.06658567 -0.02605809  0.00643484  0.00496713 -0.01732988 -0.04584314, 9.25103421e-01 -2.46055372e-03  4.00246980e-02  1.72042884e-02 -2.52262335e-02 -5.58550624e-04 -1.15838732e-02
 0.34920442  1.01970505 -0.12114258  0.07861348|0.34922443 1.01970501 0.34922443 0.34922443| 0.34922443 -0.05920535  0.00822851  0.08995792 -0.04826588  0.026883 -0.01946907, 1.01970501e+00 -1.56763171e-02 -1.38929227e-02  6.88902332e-02 -3.09168397e-02  6.42284151e-04 -2.50656788e-02
-0.58399729 -0.52534861 -0.0630246   0.06265579|-0.58399677 -0.52534734 -0.58399677 -0.58399677|-0.58399677 -0.04950719 -0.00464444 -0.00696469  0.01660365  0.03331819 -0.0429487 ,-0.52534734  0.02751606  0.02759098  0.00923593 -0.03857247  0.02968686 -0.01648362
0.05344661 0.10657278 0.10247307 0.10647931|0.05345326 0.10657448 0.05345326 0.05345326| 0.05345326  0.022414   -0.0454227  -0.08303     0.01154113 -0.03110739  0.00711214, 0.10657448  0.09217119  0.03853735  0.02791226 -0.00930961  0.02175959  0.02526021
-0.13502868  0.08114413 -0.05513338 -0.06218955|-0.13502878  0.08114452 -0.13502878 -0.13502878|-0.13502878 -0.00547154 -0.0181651  -0.04022987  0.02715193 -0.0154364 -0.03758267, 0.08114452 -0.02473417  0.03465394 -0.0088787   0.03902116  0.01769993  0.04733702
 0.74715206 -0.25978007  0.0621994  -0.06021746| 0.747152   -0.25977921  0.747152    0.747152  | 0.747152    0.00719905  0.02209058 -0.05301072  0.0194267  -0.01185322 -0.01383237,-0.25977921 -0.00625794 -0.01399036  0.02512704  0.0379193  -0.03771353 -0.00587966
 0.19599439 -0.15779721  0.05847996  0.026893  | 0.19599413 -0.15779714  0.19599413  0.19599413| 0.19599413  0.05353259 -0.00319781 -0.01514516  0.01397773 -0.0111761  0.00705861,-0.15779714 -0.01812037 -0.00606995 -0.0109701   0.00662642  0.01365324  0.01608158
-0.29222007  0.0506242   0.05498268 -0.04632485|-0.29222017  0.05062042 -0.29222017 -0.29222017|-0.29222017  0.03098943  0.02071141 -0.02367386  0.01981008  0.02568771  0.02977504, 0.05062042 -0.0112369  -0.00555913  0.03910671  0.01801075 -0.01139159 -0.01410261
-0.03791001  0.32885736 -0.0700171  -0.06035064|-0.03788196  0.32885787 -0.03788196 -0.03788196|-0.03788196 -0.02423878  0.05770995 -0.02573895 -0.00928508  0.01418191  0.02925614, 0.32885787  0.03186985  0.0477152  -0.00864237  0.01070907 -0.00478573  0.04281833
0.64466235 0.64297263 0.0708831  0.08223944|0.64466237 0.64297265 0.64466237 0.64466237| 0.64466237  0.00866426 -0.0015156  -0.04859692 -0.0433319  -0.02599117  0.0344879 , 0.64297265  0.06233906 -0.00989775  0.0160007  -0.04087992  0.03038119 -0.00130014
 0.35279072  0.24975759 -0.06449162 -0.03782857|0.35279068 0.24975792 0.35279068 0.35279068| 0.35279068  0.04431466  0.03252056 -0.00518621  0.01961211 -0.0250983 -0.04297363, 0.24975792 -0.01183593  0.01117949  0.02741475 -0.00897618  0.0178803 -0.021834  
 0.48832504 -0.06245785 -0.05835348 -0.03261317| 0.48832496 -0.06245906  0.48832496  0.48832496| 0.48832496 -0.03437152 -0.03215977  0.0061373   0.01458231 -0.02325863 -0.0756025 ,-0.06245906  0.00761016 -0.02812594 -0.00628769  0.00810967  0.00032995  0.03809451
