[ 600.         1381.91022341] | [[ 0.25280983,  0.0276551 , -0.0358574 ], [ 0.15747514, -0.00072704,  0.00538236]]
[ 600.         1161.63154097] | [[ 0.1043759 , -0.0016982 , -0.06283562], [ 0.15731584,  0.03863361,  0.02686182]]
[600.         865.48899999] | [[ 0.06468771,  0.04108948, -0.02895614], [-0.25911237, -0.04088412,  0.02295288]]
[600.         791.66459804] | [[ 0.45219249, -0.02462701,  0.00384979], [-0.31282834,  0.0317104 ,  0.00717224]]
[ 600.         1470.68098419] | [[ 0.92702233, -0.01362175, -0.04647853], [ 0.4742033 ,  0.03766393, -0.019481  ]]
[600.         685.59112051] | [[ 0.17319149, -0.0024787 ,  0.0172826 ], [-0.27947968,  0.0457621 ,  0.00369567]]
[600.         681.17866323] | [[-4.82940342e-01,  4.24455313e-02,  5.44919572e-03], [ 1.24580983e+00,  1.27664799e-02,  8.76244562e-04]]
[ 600.         1202.84653182] | [[-0.32020767,  0.03693061, -0.02902516], [ 0.09934382,  0.00517994,  0.01080985]]
[ 600.         1585.16988306] | [[ 0.53818837, -0.01085296,  0.02587919], [ 0.45470336, -0.02236059, -0.00205303]]
[ 600.         1309.53567002] | [[ 0.02621581,  0.03125345, -0.05823784], [ 0.11246149, -0.01191377,  0.07323178]]
[600.        916.6176934] | [[ 0.58913148, -0.00492364, -0.0468714 ], [-0.38154769,  0.02419509,  0.0656455 ]]
[600.         814.34460214] | [[ 0.3758816 ,  0.01521337, -0.02642242], [-0.39376921, -0.00491782,  0.02934187]]
[ 600.         1070.05998855] | [[-0.25465479, -0.00826987, -0.00188477], [ 0.01683964,  0.01361702,  0.05604094]]
[600.         901.37158385] | [[-0.50706434,  0.03467959, -0.03551192], [ 0.52200705,  0.03327871, -0.05628509]]
[600.         865.12536041] | [[-0.22713669,  0.02429905, -0.03951957], [ 0.92030709, -0.02228915, -0.01223288]]
[ 600.         1010.10317179] | [[ 0.5617212 ,  0.00572068, -0.0152417 ], [-0.52310787,  0.00668053, -0.02261468]]
[ 600.         1288.70283844] | [[-0.05032953, -0.02515767,  0.01506688], [-0.96824498, -0.02730171,  0.01537962]]
[600.         763.81410297] | [[ 0.21670234,  0.01017473, -0.03683719], [ 0.19837337,  0.02367245,  0.00716633]]
[600.         997.86829675] | [[-0.03280367, -0.03976548,  0.01990292], [ 0.83577085, -0.0288793 ,  0.04341283]]
[ 600.         1056.34056156] | [[ 0.12811436, -0.03127735, -0.01313963], [-0.5353904 , -0.03592696, -0.03138889]]
[600.         887.16862527] | [[ 0.02873079, -0.03842765,  0.01835239], [ 0.31088942, -0.02130481, -0.0481611 ]]
[ 600.         1061.63015449] | [[-0.28330963,  0.02260013,  0.02391686], [ 0.77532375,  0.03466851, -0.0208212 ]]
[600.         938.15724829] | [[-0.04346033, -0.00546089,  0.01490014], [-0.52986171,  0.03087375, -0.0573576 ]]
[600.         727.23482037] | [[-0.28158751,  0.05434271,  0.04556842], [-0.38922155,  0.04418691, -0.03002251]]
[600.         878.33256625] | [[ 0.04610765,  0.00353238, -0.01152356], [-0.53198733, -0.03158461,  0.04070032]]
[600.         781.47075498] | [[ 0.10918955, -0.00037049, -0.04267835], [-0.17052415,  0.02868466, -0.02100876]]
[600.         706.80897372] | [[ 0.6104544 ,  0.00585481,  0.0121602 ], [ 0.10129058, -0.01881816,  0.01736407]]
[600.         761.59167568] | [[ 0.29508832,  0.01273701,  0.02377304], [-0.41288325,  0.02072204, -0.05057427]]
[600.         736.04104723] | [[ 0.69128206,  0.01994032, -0.01710194], [ 0.3016517 ,  0.00249131, -0.00524736]]
[ 600.         1291.50225288] | [[ 0.38182428, -0.03199265, -0.00487499], [ 0.29738047,  0.04227539,  0.04160822]]
[600.         881.12258455] | [[ 0.54756094,  0.05684143,  0.01162724], [ 0.12532267, -0.00709889,  0.00744409]]
[600.         864.96275739] | [[0.06855732, 0.00218448, 0.02005966], [0.10966787, 0.02915189, 0.03532403]]
[600.         888.22051702] | [[-0.044924  ,  0.02894924,  0.02574316], [-0.50572406,  0.03893004,  0.02062395]]
[ 600.         1592.59003072] | [[ 0.44422173,  0.02343137,  0.07225267], [-0.03845522,  0.06371631,  0.02649073]]
[ 600.         1184.38880612] | [[ 0.4121621 , -0.01407019, -0.037067  ], [-0.04145651, -0.02753534, -0.01136712]]
[600.         720.02897544] | [[-0.28452705, -0.05231018,  0.01810748], [ 0.04129461,  0.00946603, -0.00112459]]
[ 600.       1086.706634] | [[ 0.05322607,  0.02823395,  0.02232806], [ 0.65104122,  0.03470535, -0.02235653]]
[600.         876.11338016] | [[ 0.29756041, -0.02623362, -0.03029745], [-0.19369429,  0.02329604, -0.00702814]]
[600.         927.20848984] | [[-0.36244739, -0.05215641, -0.0420637 ], [ 0.65542187,  0.01057051, -0.00605932]]
[ 600.         1397.46341397] | [[-0.16876539, -0.00539293,  0.01855827], [-0.18571609,  0.04030777, -0.03370867]]
[ 600.         1016.04567451] | [[-1.00546357, -0.01626186, -0.05313858], [-0.06154769, -0.00158945, -0.0010351 ]]
[ 600.         1431.97874981] | [[ 0.34596623, -0.00546977,  0.05133185], [ 1.05599591,  0.06933785,  0.03681233]]
[600.         747.40602233] | [[ 0.44568026, -0.02875016,  0.04246806], [ 1.0283025 , -0.08373888,  0.03221691]]
[ 600.         1564.40955174] | [[ 0.11175723, -0.00787739,  0.00289843], [ 0.26403513,  0.01250623,  0.01281155]]
[ 600.         1759.07591685] | [[ 0.19774482,  0.04762082,  0.00785979], [-0.17462451,  0.02442963,  0.04445016]]
[600.         802.65307042] | [[-0.14812485, -0.06813876,  0.01498963], [-0.19069422,  0.04062594,  0.04678538]]
[600.         837.30383935] | [[ 0.1493416 , -0.00871124, -0.02322566], [ 0.05695853,  0.01886451,  0.02177363]]
[ 600.         1469.79968947] | [[ 0.3705584 , -0.0030915 , -0.06210563], [ 0.30476539,  0.0070623 , -0.01602779]]
[ 600.         1273.16393357] | [[ 0.05916076,  0.07221344,  0.03190332], [ 0.75871452, -0.01461973, -0.03640364]]
[ 600.        1155.8142319] | [[-0.01912799, -0.03259926, -0.03447573], [ 0.08338231, -0.00751423,  0.01544085]]
[600.         780.67890461] | [[ 0.05727649, -0.04289102,  0.03491733], [ 0.37715794,  0.01615405,  0.00944276]]
[600.         964.95132187] | [[-0.23744689,  0.01165578,  0.02584359], [-0.3471532 , -0.01519449, -0.00938388]]
[600.         940.39975069] | [[ 0.17797426, -0.00197578,  0.1322031 ], [ 0.18497901,  0.03952802,  0.0191378 ]]
[600.         880.35895596] | [[-0.25273024,  0.01206093, -0.05050193], [ 0.03452242, -0.07410132, -0.00132145]]
[ 600.         1137.93129072] | [[ 0.33635437,  0.11277083,  0.01287993], [ 0.14505348, -0.013723  ,  0.01489317]]
[ 600.         1067.19015132] | [[-1.61000489e-01,  5.38416426e-02,  8.37551141e-03], [ 1.17587112e+00,  3.06184275e-02, -6.88001433e-04]]
[ 600.         1151.00986511] | [[-0.10545232,  0.00087585,  0.01943019], [ 0.14221523,  0.04399535,  0.02844358]]
[600.         936.21357074] | [[-0.15777151,  0.00061538,  0.02245424], [ 0.18330961, -0.01822406, -0.00829881]]
[ 600.         1064.28060024] | [[ 0.21123618,  0.00530918,  0.00604208], [-0.03050004, -0.04456266,  0.01378075]]
[ 600.       1467.466898] | [[ 0.38556388, -0.00582023, -0.0091227 ], [ 0.20695285, -0.0479031 , -0.03470797]]
[ 600.         1194.98384788] | [[ 0.66927679, -0.00646578, -0.04492339], [-0.80998196,  0.04019601,  0.00678012]]
[600.         810.16387709] | [[-0.24253747,  0.00896786,  0.02094618], [-0.31215628,  0.07640328,  0.04558401]]
[ 600.         1568.66785964] | [[-0.66568572,  0.01857936, -0.05253529], [-0.14034893, -0.02960661, -0.03287139]]
[ 600.         1513.05980113] | [[-0.39082902, -0.02054363,  0.01299077], [-1.06724096, -0.04902463,  0.00396509]]
[ 600.         2022.18230845] | [[-0.04318192, -0.0082963 ,  0.02180008], [ 0.14602111,  0.06775978,  0.05080018]]
[600.         904.41750319] | [[ 0.29709901, -0.02464295,  0.02082658], [ 0.52430498, -0.01826765,  0.01825905]]
[600.         786.81796449] | [[ 0.64624935, -0.02305157,  0.04971205], [-0.05755386,  0.00977572,  0.012893  ]]
[600.         859.00771585] | [[-0.12566626, -0.0370154 ,  0.04902687], [-0.24385747, -0.00867641,  0.01659557]]
[600.         999.09788527] | [[-0.75493978, -0.01273637,  0.03546919], [-0.15253249,  0.05539402, -0.06744992]]
[ 600.         1373.48458372] | [[-0.5284415 ,  0.01970244, -0.04207346], [ 0.36952033, -0.00145444, -0.02742751]]
[ 600.         1098.93660665] | [[-0.59314363, -0.02175451, -0.00912855], [-0.74223779,  0.06780294, -0.02211544]]
[600.         794.23165289] | [[-0.05906266,  0.02729376,  0.01997234], [ 0.81892103, -0.03350591, -0.01033989]]
[ 600.         1494.85689937] | [[ 0.20468626, -0.03398594, -0.00945769], [ 0.25473532, -0.02124423, -0.00200293]]
[600.         675.79807219] | [[-0.24873486, -0.05990844,  0.04624287], [-0.80510702,  0.03034197, -0.00343645]]
[600.         944.75054031] | [[-0.70125233,  0.02568514,  0.01176802], [ 0.75600181,  0.01219849, -0.02223359]]
[600.         909.38693039] | [[-1.11316931,  0.0217787 ,  0.02170702], [-0.59266064,  0.03182581,  0.01532893]]
[600.         801.62811363] | [[ 0.61867046,  0.01360988, -0.01815014], [-0.46690759,  0.03599864, -0.04304805]]
[600.         795.90905451] | [[-0.29664508, -0.00727247,  0.00640923], [-0.12101044, -0.03956855,  0.04573262]]
[600.         964.53231125] | [[ 2.26035339e-01,  9.48974789e-05,  5.83660937e-02], [ 2.99232966e-02,  4.00945674e-02, -5.24328913e-02]]
[ 600.         1050.31195459] | [[ 1.06265716, -0.01645331,  0.08556068], [-0.32801988, -0.03561052,  0.00122451]]
[ 600.         1649.56792055] | [[-0.40817011, -0.054936  ,  0.04302484], [ 0.14003314,  0.04575203, -0.00046492]]
[ 600.         1316.97165349] | [[-0.63112246, -0.05250419,  0.00157035], [ 0.11914197, -0.00108106, -0.00822214]]
[ 600.         1184.84732915] | [[ 6.56769656e-02,  3.58338068e-02, -3.30712605e-02], [-1.52864809e-01, -6.51129838e-03, -1.14564229e-04]]
[ 600.         1440.09020583] | [[-0.6235586 , -0.08746638, -0.02987217], [-0.03450221, -0.04346226, -0.00318077]]
[ 600.         1216.73882973] | [[ 0.21143006, -0.03236829,  0.02760108], [-0.22715027,  0.02454687,  0.00298632]]
[ 600.         1245.90975302] | [[ 0.11610989, -0.0571389 ,  0.01283677], [ 0.6722885 , -0.02015302, -0.04618031]]
[600.         778.09347175] | [[-0.88868978,  0.0093593 , -0.02616308], [-0.10596952,  0.03216606,  0.00634461]]
[ 600.         1260.47685903] | [[ 0.65270009, -0.03907735,  0.01155707], [ 0.12742387,  0.00398149,  0.02556188]]
[ 600.         1203.48548336] | [[ 9.96523413e-02, -4.04695350e-03,  4.62458821e-04], [ 9.73615597e-01, -6.73534259e-02,  5.02985626e-03]]
[ 600.         1492.77613473] | [[ 0.0711323 , -0.03457157, -0.01610089], [ 0.53223321,  0.07689699, -0.00405929]]
[ 600.         1544.68733206] | [[-0.34304443,  0.04116354, -0.02420969], [-1.07253796, -0.04727095,  0.00457248]]
[ 600.         1366.25773041] | [[ 0.32257042,  0.02801514, -0.00469603], [ 0.20875142, -0.01917622, -0.03970992]]
[ 600.         1234.02849901] | [[-0.2496706 ,  0.00783266, -0.04072857], [ 0.87174857,  0.05357493,  0.00782849]]
[ 600.         1111.51855545] | [[-0.48829094,  0.01479636, -0.00277052], [-0.22915785, -0.00930561, -0.03764944]]
[ 600.         1018.29498583] | [[-0.81144301,  0.02487778,  0.02245727], [ 1.12625605, -0.03741028,  0.04885434]]
[600.         768.78583192] | [[-0.1951698 ,  0.01484134, -0.01085435], [-0.78427206,  0.0299175 ,  0.01598669]]
[ 600.         1722.26873519] | [[ 0.15513156, -0.02905518, -0.00807893], [ 0.4336726 , -0.00385626,  0.02953166]]
[ 600.         1266.20426262] | [[ 0.18930538, -0.02286477,  0.01911947], [-0.30881105,  0.06572044,  0.01215335]]
[ 600.         1108.18208678] | [[-0.11134465,  0.0188958 , -0.00584841], [ 0.27174321, -0.00531401, -0.02134393]]
[600.         857.83044802] | [[-0.30426524, -0.01130788, -0.00406737], [-0.00102429,  0.01895262, -0.01776426]]
[ 600.         1122.55423148] | [[ 0.2422562 , -0.04218676,  0.0384141 ], [-0.09400903, -0.02586399,  0.00532172]]
