[0.25280983, 0.15747514, 0.0276551 , 0.00538236] | [2.49923607e-01, 1.69999242e-01, 5.09659854e-02, 6.78517567e-05]
[ 0.1043759 ,  0.15731584, -0.0016982 ,  0.02686182] | [ 0.09583176,  0.14057467, -0.08893295,  0.17249549]
[ 0.06468771, -0.25911237,  0.04108948,  0.02295288] | [ 0.09833431, -0.26593344,  0.02236548,  0.02440499]
[ 0.45219249, -0.31282834, -0.02462701,  0.00717224] | [ 4.53605848e-01, -3.26750386e-01, -1.51624920e-02, -1.32784368e-04]
[ 0.92702233,  0.4742033 , -0.01362175, -0.019481  ] | [ 0.91513485,  0.5249354 , -0.05289641, -0.0274837 ]
[ 0.17319149, -0.27947968, -0.0024787 ,  0.00369567] | [ 0.12342151, -0.29720705, -0.04145625,  0.01925966]
[-4.82940342e-01,  1.24580983e+00,  4.24455313e-02,  8.76244562e-04] | [-4.72760564e-01,  1.23098147e+00,  3.77713728e-02, -3.59363105e-05]
[-0.32020767,  0.09934382,  0.03693061,  0.01080985] | [-3.36339838e-01,  1.02263185e-01,  2.26856880e-02, -1.16211944e-04]
[ 0.53818837,  0.45470336, -0.01085296, -0.00205303] | [ 5.41007009e-01,  4.60447203e-01,  5.82999112e-06, -1.15045653e-04]
[0.02621581, 0.11246149, 0.03125345, 0.07323178] | [-1.40723431e-04,  9.64404559e-02, -1.17952391e-01,  2.32784379e-01]
[ 0.58913148, -0.38154769, -0.00492364,  0.0656455 ] | [ 0.57938491, -0.37819452, -0.04808845,  0.05637759]
[ 0.3758816 , -0.39376921,  0.01521337,  0.02934187] | [ 3.44785941e-01, -3.88722062e-01,  5.09309134e-02,  3.16643090e-05]
[-0.25465479,  0.01683964, -0.00826987,  0.05604094] | [-2.41751626e-01, -4.25091759e-05, -6.91261922e-02,  6.50441851e-02]
[-0.50706434,  0.52200705,  0.03467959, -0.05628509] | [-0.48875941,  0.51973404,  0.05743789, -0.05334422]
[-0.22713669,  0.92030709,  0.02429905, -0.01223288] | [-2.34420829e-01,  9.32220476e-01,  4.16632555e-02,  2.04689149e-05]
[ 0.5617212 , -0.52310787,  0.00572068, -0.02261468] | [ 0.54496895, -0.50712231,  0.01190224, -0.05127994]
[-0.05032953, -0.96824498, -0.02515767,  0.01537962] | [-4.73336408e-02, -9.58823076e-01, -1.22406808e-03,  6.84190793e-05]
[0.21670234, 0.19837337, 0.01017473, 0.00716633] | [0.20932423, 0.18368993, 0.02007774, 0.04491355]
[-0.03280367,  0.83577085, -0.03976548,  0.04341283] | [ 0.0063156 ,  0.84043522, -0.47795081,  0.01569498]
[ 0.12811436, -0.5353904 , -0.03127735, -0.03138889] | [ 0.10432294, -0.54803685, -0.06311154, -0.04847455]
[ 0.02873079,  0.31088942, -0.03842765, -0.0481611 ] | [-2.18771521e-02,  3.07886668e-01, -3.97657659e-05, -4.36464697e-02]
[-0.28330963,  0.77532375,  0.02260013, -0.0208212 ] | [-2.76792183e-01,  7.74045798e-01,  7.07345789e-06,  2.48134527e-05]
[-0.04346033, -0.52986171, -0.00546089, -0.0573576 ] | [-0.05404533, -0.50218857, -0.0314606 , -0.05241033]
[-0.28158751, -0.38922155,  0.05434271, -0.03002251] | [-0.267093  , -0.41277587,  0.07544188, -0.04418637]
[ 0.04610765, -0.53198733,  0.00353238,  0.04070032] | [ 0.00814858, -0.54731366,  0.09975378,  0.04203536]
[ 0.10918955, -0.17052415, -0.00037049, -0.02100876] | [ 1.06937497e-01, -1.72033664e-01, -5.17707680e-02, -6.02804303e-05]
[0.6104544 , 0.10129058, 0.00585481, 0.01736407] | [0.60216542, 0.12635527, 0.01924666, 0.03858652]
