[-0.4656842 ,  0.64548321, -0.0270046 , -0.04198983] | [-4.69797687e-01,  6.47326994e-01, -4.13991121e-02,  7.43327441e-05]
[0.12044762, 0.04379137, 0.01096857, 0.01002058] | [0.11792749, 0.00168955, 0.00014108, 0.00756422]
[-0.16953159, -0.34373128,  0.00815934,  0.03233646] | [-2.04066275e-01, -3.43503529e-01,  7.99482336e-02, -5.93457296e-06]
[-0.46581   ,  0.23702345, -0.01159472, -0.03898135] | [-0.45359619,  0.2982031 ,  0.00060588, -0.36735822]
[ 0.4309938 ,  0.15355725, -0.01972988,  0.00423542] | [ 4.15761417e-01,  1.45619987e-01, -3.73360709e-02,  4.60849123e-05]
[0.50189697, 0.49558797, 0.01106563, 0.01286539] | [5.04406119e-01, 5.06127178e-01, 8.67194767e-05, 1.88870558e-03]
[ 0.24681126, -0.46975446,  0.04072645,  0.05965706] | [ 0.23453385, -0.47571784,  0.05342307,  0.29861477]
[ 0.24955436, -0.59184128,  0.05015326,  0.06510153] | [ 2.61056281e-01, -6.11750733e-01,  3.01851951e-02, -8.98956628e-05]
[-0.19162262, -0.78645357, -0.00883375, -0.03178231] | [-1.79552445e-01, -7.80333846e-01,  7.04634504e-05, -4.63582920e-02]
[ 0.04402863, -0.51330308,  0.04453809,  0.02653797] | [ 5.01483979e-02, -5.31526382e-01,  3.74323259e-04,  7.60026326e-02]
[-0.87070604, -0.34355011, -0.05238039,  0.0314107 ] | [-8.78118530e-01, -3.34466379e-01, -4.28617471e-02,  1.20698339e-04]
[ 0.23874261, -0.21511816,  0.02065309, -0.03831522] | [ 2.36840433e-01, -2.21922760e-01,  5.70968562e-05, -2.48552289e-01]
[ 0.50846669,  0.31737521, -0.00263847,  0.01493508] | [ 5.00755065e-01,  3.16192192e-01, -5.04213502e-05,  1.11573661e-01]
[ 0.23055697,  0.78362876, -0.07106214, -0.01104894] | [ 0.23499269,  0.78052325, -0.06778735, -0.12213397]
[ 0.00922379,  0.3709315 , -0.01779666,  0.00256646] | [ 1.17785581e-02,  3.66205358e-01, -3.09177164e-04,  4.35112908e-02]
[-0.91201905,  0.49057559,  0.01456653,  0.01255592] | [-9.01492305e-01,  5.06824873e-01,  1.44631852e-04, -2.33076691e-03]
[-0.04627307,  0.80123077,  0.00645159, -0.01268473] | [-0.07525171,  0.79692941,  0.03373857, -0.28864503]
[-0.27500376, -0.00442656,  0.00541965,  0.0292211 ] | [-2.64817426e-01, -8.68813272e-05,  3.25950562e-02,  2.87877217e-02]
[ 0.3163174 , -0.09536913,  0.01859174,  0.04390663] | [ 3.06876498e-01, -1.09627501e-01,  3.95948804e-02,  9.93455412e-05]
[ 0.16046009, -0.37906099,  0.01444252,  0.04057474] | [ 1.42792365e-01, -3.76500496e-01,  6.04784673e-05,  1.39716243e-03]
[ 0.55828736, -0.93949358, -0.04027068, -0.01719125] | [ 5.60225961e-01, -9.46486338e-01, -4.63836321e-02, -3.22065637e-04]
[-0.35573346,  0.2646412 ,  0.07785891,  0.0452883 ] | [-0.35061916,  0.25544242,  0.09159977,  0.00058077]
[-0.1606989 ,  0.19154431,  0.01201818, -0.00227575] | [-0.15998478,  0.19911822,  0.01806557, -0.0002583 ]
[ 0.77184491, -0.59518051,  0.02481279, -0.04600641] | [ 7.83894746e-01, -5.98530349e-01, -1.30067620e-04, -7.75190237e-02]
[-0.46041978,  0.05230478,  0.03025083,  0.01964386] | [-0.45792122,  0.04598104,  0.02397298,  0.52567967]
[-0.42558074, -0.18056242, -0.01432634, -0.00546888] | [-4.21542714e-01, -1.84418671e-01, -3.75224997e-02, -9.75575401e-05]
[-0.74777172,  0.43246907, -0.0487981 , -0.02656986] | [-0.7366412 ,  0.42064488, -0.04812173, -0.07182242]
[-0.39489021, -0.32848854, -0.00209984,  0.06372153] | [-3.77289976e-01, -3.44131692e-01,  3.87644503e-05,  1.55578888e-01]
[1.39316943, 0.9730579 , 0.04777568, 0.04195338] | [1.39316802e+00, 9.88861196e-01, 3.75354299e-02, 9.52898662e-05]
[ 0.01058597, -0.35519211, -0.04809871,  0.02914021] | [-1.10442009e-04, -3.59586395e-01, -4.87177066e-02,  3.44974809e-04]
[-0.22214334, -0.11211595, -0.01404116, -0.0407143 ] | [-0.21335596, -0.16249166, -0.01711677, -0.16530022]
[-0.11919654, -0.17757022, -0.00739239,  0.01559269] | [-0.09630955, -0.13845696, -0.10745899, -0.00077187]
[ 1.97014098e-01, -1.76823317e-02, -1.02805009e-04,  1.15944097e-02] | [ 0.17762585, -0.14740726, -0.04793736,  0.359192  ]
[-0.3881094 , -0.68829183,  0.0232203 ,  0.02393056] | [-3.86866571e-01, -6.78240299e-01,  2.15709488e-02,  3.15707375e-05]
[-0.37469976, -0.14833246, -0.00713195,  0.0588074 ] | [-3.72188985e-01, -1.55676535e-01, -6.32638422e-05,  5.63727393e-03]
[0.15871491, 0.54576124, 0.051506  , 0.04949061] | [1.75534868e-01, 5.57019830e-01, 2.16702497e-02, 6.31564736e-06]
[-1.00547036, -0.10748653,  0.05758294,  0.07391698] | [-0.99957304, -0.07144286,  0.06375934,  0.3529136 ]
[ 0.51999504, -0.29620262, -0.056948  ,  0.0118014 ] | [ 0.52864388, -0.32985053, -0.04535365,  0.11622537]
[-0.14457072, -0.07447961, -0.05338746,  0.02785986] | [-0.11967848, -0.07708313, -0.13289484,  0.00111891]
[-0.10832407, -0.04543897,  0.03927443, -0.01945731] | [-1.01875964e-01, -4.86878192e-06,  4.50409677e-02,  9.39140236e-02]
[ 0.42940116,  0.69209489, -0.05316256,  0.00682995] | [ 4.29709740e-01,  6.85406223e-01, -5.90399897e-02,  8.17363904e-05]
[ 3.12690392e-01, -7.44078504e-01, -6.79664672e-04, -3.24876004e-02] | [ 3.05269085e-01, -7.62858307e-01, -6.11217257e-05, -5.74571459e-02]
[ 0.53404788, -0.09827066, -0.01778183, -0.0106028 ] | [ 5.26976530e-01, -1.15995868e-01, -3.61830949e-02,  7.97326091e-06]
[-0.24573827, -0.05217759,  0.00659376, -0.00610093] | [-0.23368774, -0.04832478,  0.03996665, -0.00040866]
[ 0.013045  , -0.18305146, -0.01313671,  0.00635833] | [ 0.06055659, -0.15413569,  0.00016855,  0.00745332]
[ 0.11186463, -0.35735683, -0.05088955, -0.03065936] | [ 0.10878417, -0.3497414 , -0.08022494, -0.3196991 ]
[ 0.52735763,  0.65699516, -0.04251914, -0.04282517] | [ 5.08924576e-01,  6.57266993e-01, -5.08699436e-02,  2.25961806e-06]
[-0.29305057,  0.55386278,  0.04404621,  0.04183936] | [-3.05180365e-01,  5.39246736e-01,  2.22263737e-02,  2.45149199e-05]
[ 0.25703574,  0.19283316, -0.01076761,  0.04561117] | [ 0.24191562,  0.20220213, -0.05667178,  0.06092515]
[ 0.16131354,  0.79030782, -0.01332761,  0.00994493] | [ 1.38572755e-01,  7.86724799e-01, -6.49455433e-05,  4.88971284e-05]
[ 0.12548973, -0.05777846,  0.01495955,  0.02146892] | [ 0.13295974, -0.11669054,  0.12052035,  0.00039385]
[-0.30308016, -0.72086215, -0.00247242,  0.00751361] | [-2.95290556e-01, -7.38723824e-01,  8.62541893e-05,  4.36604969e-04]
[ 0.90931718,  0.09611838, -0.00263299,  0.02877338] | [ 8.98983993e-01, -1.67290557e-04,  9.66360607e-06,  1.29364032e-01]
[ 0.50055584,  0.49422939,  0.01600405, -0.01381519] | [ 5.02098599e-01,  4.91647068e-01,  1.74445811e-02, -2.65346725e-05]
[-0.00971629,  0.8973294 , -0.01816358,  0.04890826] | [ 3.02257731e-05,  8.81229505e-01, -2.20826644e-02,  2.38459328e-05]
[-0.30774283,  0.62355182,  0.00379159, -0.00360228] | [-0.29540798,  0.62316012,  0.02897954, -0.03540463]
[-0.48024245,  0.42496666, -0.02944008, -0.01393952] | [-4.78216380e-01,  4.26018816e-01, -1.45509361e-02,  1.42342000e-04]
[-4.65947278e-01,  2.32056760e-01, -1.65153090e-05, -3.37280608e-02] | [-4.63399380e-01,  2.33157316e-01, -1.37981851e-05, -7.40261613e-04]
[ 0.31720914, -0.50488512,  0.03253656, -0.0026598 ] | [ 0.30724909, -0.52291033,  0.04970209, -0.11840487]
[-0.17787812,  0.0278774 ,  0.00194577, -0.01331105] | [-0.17431777,  0.11486648,  0.01791174, -0.00034413]
[-0.39766306, -0.44243519, -0.01625887, -0.02923628] | [-4.02210749e-01, -4.40547025e-01,  7.90126563e-05, -8.65063912e-03]
[ 0.58998355,  0.29075469, -0.03801412, -0.04392024] | [ 5.94821384e-01,  3.10471357e-01, -6.94604122e-05,  1.49919344e-03]
[-0.65404022, -0.25836266,  0.0168816 , -0.01277176] | [-6.56436595e-01, -2.68021701e-01, -8.55972380e-05,  2.92542083e-04]
[ 0.26056108, -0.2211925 , -0.02978688,  0.06331839] | [ 2.66427201e-01, -2.35840107e-01, -2.68622255e-02,  6.74593557e-05]
[ 0.36986481,  0.37423694,  0.02428226, -0.02030656] | [3.61829179e-01, 3.80001925e-01, 5.46366485e-02, 4.08476143e-05]
[ 0.06780742, -0.16631285, -0.025438  , -0.0550591 ] | [ 6.08280948e-02, -1.71954146e-01,  1.28143618e-04, -2.26416684e-01]
[ 0.07291247,  0.16976144,  0.01571602, -0.02536281] | [ 5.91372150e-02,  1.64209225e-01, -7.59606416e-05, -2.56790313e-01]
[-0.47126538,  0.15731013, -0.01052931,  0.07393608] | [-0.47510098,  0.1749118 , -0.00111665,  0.41641579]
[-0.22852244, -0.06504736, -0.02256423, -0.01043075] | [-2.40419179e-01, -1.59157249e-01, -1.00506226e-04, -1.81468041e-01]
[-1.16324868e+00, -3.98227803e-02,  6.38336373e-03, -8.29001689e-04] | [-1.16352460e+00, -1.32600195e-01, -2.16496734e-04,  5.73201518e-03]
[-0.17108821,  0.73524974,  0.05719351, -0.01991199] | [-0.15344569,  0.73273884,  0.06597268, -0.14067029]
[-0.1130826 ,  0.09643702,  0.0110002 ,  0.00420645] | [-0.09407785,  0.13870735,  0.06774697,  0.45433594]
[ 0.22403674, -0.12307418, -0.01121558,  0.00836038] | [ 2.15408406e-01, -1.42957209e-01, -7.93352145e-05,  1.83680433e-01]
[-0.13868032,  0.23283578,  0.04859908,  0.00942381] | [-1.02816830e-01,  2.49092367e-01,  6.01088195e-02, -6.18608661e-05]
[-0.01978109,  0.30548114,  0.05429573,  0.00468387] | [1.77818904e-04, 3.21462783e-01, 5.29117481e-02, 2.07611275e-01]
[ 0.5989992 ,  0.40357045, -0.06656885, -0.00148578] | [ 0.59402814,  0.40375562, -0.05995982, -0.03992055]
[-0.64040251, -1.10894851,  0.01469544,  0.01729349] | [-6.19930776e-01, -1.12012057e+00,  5.33771780e-02,  1.37710034e-05]
[-0.47335673, -0.13727218,  0.04601227, -0.00319621] | [-4.72811092e-01, -1.27832975e-01,  5.06388167e-02,  8.20650500e-05]
[-0.02162875,  0.31706294, -0.02502834,  0.04020177] | [-4.35114319e-02,  3.04177262e-01,  2.53136752e-04,  2.91199857e-01]
[ 0.17294215,  0.13135607,  0.00696811, -0.01131915] | [ 0.18563692,  0.13051548,  0.0139043 , -0.00052084]
[0.46740965, 0.49783554, 0.04015716, 0.00803323] | [0.45722621, 0.51244313, 0.03063444, 0.00204809]
[-0.31203497,  0.34177093,  0.01925335, -0.00670687] | [-3.11999023e-01,  3.55466346e-01,  7.23153745e-06, -6.85239701e-03]
[-0.28211265,  0.16889747,  0.03851663,  0.00062919] | [-0.25638683,  0.18280484,  0.04824901,  0.00062026]
[-0.44894245,  0.20622041,  0.00693225, -0.033114  ] | [-4.43156868e-01,  2.17408722e-01,  1.14636855e-04, -8.13353477e-02]
[ 0.21320363, -0.09857763, -0.01337253, -0.00686464] | [ 2.20775067e-01, -8.05907046e-02, -7.80970010e-05, -2.61670620e-01]
[ 0.42731363, -0.42278057, -0.01953419, -0.01036316] | [ 4.24804892e-01, -4.32872424e-01,  9.82701624e-05, -6.50636529e-04]
[0.41259742, 0.69690042, 0.01718767, 0.03073226] | [ 4.00939270e-01,  7.27878429e-01,  4.36253323e-02, -4.45619994e-05]
[-0.51184711, -0.69587158,  0.07375577,  0.00523881] | [-0.5240389 , -0.69940946,  0.08842237,  0.21729578]
[-0.20688809,  0.50417281,  0.02950007,  0.03537626] | [-0.22277386,  0.54498836,  0.02539853,  0.11587654]
[ 0.60989309,  0.12000783, -0.02311582, -0.03282417] | [ 6.01140445e-01,  1.32086151e-01, -3.05288258e-02, -2.83577336e-05]
[ 0.00425282, -0.4529957 , -0.01643586,  0.00250098] | [ 6.95473126e-05, -4.30821972e-01, -1.62904489e-02,  2.42807984e-01]
[-0.65677114, -0.22170939,  0.01703943,  0.0618984 ] | [-0.63325877, -0.21430034,  0.03088233,  0.18612441]
[-0.47549441,  0.27623964, -0.05597909,  0.00170311] | [-0.48310937,  0.25447943, -0.04369076,  0.48779344]
[-0.23154896, -0.21024376,  0.07019853, -0.00033454] | [-0.2043037 , -0.20916796,  0.08093226, -0.18277659]
[ 0.25829693,  0.55167631, -0.0080045 , -0.04397073] | [ 2.60312536e-01,  5.37464636e-01,  1.03295665e-04, -2.58670015e-01]
[-0.20190975, -0.17329476, -0.01354413, -0.02393046] | [-0.19309371, -0.15300016, -0.05770892, -0.07856163]
[ 0.77980584, -0.10385599,  0.01883426, -0.01440399] | [ 0.77627351, -0.09888871,  0.00932637,  0.00448998]
[-0.74603955,  0.60782411,  0.00683878, -0.07072214] | [-7.38282612e-01,  6.16103206e-01,  6.86929196e-05, -1.81612037e-03]
[-0.3977439 ,  0.4840062 , -0.01757081,  0.02376466] | [-3.98259594e-01,  4.81318598e-01,  7.39915326e-05,  2.79876693e-01]
[ 0.6133233 ,  0.24047923, -0.01588679,  0.00245472] | [ 6.02587823e-01,  2.42477808e-01, -4.82524284e-02,  1.26694092e-05]
[-0.28910483, -0.6887083 ,  0.00819929,  0.00623882] | [-2.89448973e-01, -7.06567477e-01,  6.95326079e-05,  3.74294710e-03]
[ 0.21667127, -0.05777807, -0.02247057, -0.01774214] | [ 0.21451695, -0.16759036, -0.04221079, -0.47641266]
[ 0.75338067,  0.15223883, -0.02668895, -0.00578721] | [ 7.44615154e-01,  1.71771886e-01, -8.24404093e-05, -8.59430880e-02]
[ 0.03075308,  0.23300574,  0.03793063, -0.01029799] | [5.89104575e-02, 2.13431050e-01, 2.87055568e-01, 1.04715612e-04]
[ 0.30459203, -0.52356449, -0.01539501,  0.0155343 ] | [ 3.08614872e-01, -5.01680223e-01,  1.37316276e-04,  2.94498046e-01]
[-0.06379379,  0.2680674 , -0.04180252, -0.00050223] | [-5.77683202e-02,  2.73637514e-01, -8.12688933e-05, -2.05187017e-01]
[ 0.03398809, -0.3117308 ,  0.00542476, -0.03940928] | [ 0.01066402, -0.31655778,  0.38743793, -0.00054248]
[ 1.14760602, -0.92259927,  0.01668006, -0.0927259 ] | [ 1.13347790e+00, -9.35391209e-01,  5.11123557e-02, -1.95435507e-05]
[ 0.7142461 , -0.26661475,  0.00645598, -0.01397564] | [ 7.15204914e-01, -2.25150312e-01, -1.57805301e-04, -4.97627451e-01]
[-0.61209107, -0.2744518 ,  0.00117612,  0.01581046] | [-0.60200328, -0.30615776,  0.00756993,  0.27763005]
[-0.64683781,  0.25439689,  0.02149301, -0.01457652] | [-0.64535074,  0.26046739,  0.05261271, -0.16722696]
