[-0.35686564,  0.33391818, -0.04856961,  0.04387439] | [-0.35686027,  0.33392265, -0.04880235,  0.13223352]
[ 0.69037457, -0.1532628 ,  0.02397082,  0.00447733] | [ 0.69037287, -0.15326944,  0.02406174,  0.12207393]
[ 0.4608202 , -0.61524501,  0.05843561, -0.00378223] | [ 0.46082744, -0.61524057,  0.05846767, -0.05939496]
[-0.35851732, -0.46644045, -0.0020217 ,  0.00355014] | [-0.35851717, -0.46644054, -0.00398487,  0.06718981]
[-0.53677504, -0.63284738, -0.06750618, -0.04266367] | [-0.53675149, -0.63285593, -0.06767269, -0.21674548]
[-0.17436696, -0.3658217 ,  0.03976108,  0.02682418] | [-0.17437409, -0.36581863,  0.03999776,  0.06102771]
[-0.57890195,  0.41910456,  0.04184446, -0.05667549] | [-0.57889834,  0.41910787,  0.04300824, -0.16873083]
[-0.08349782,  0.41476784, -0.02197884, -0.00502324] | [-0.08350106,  0.41476734, -0.02255804, -0.16117603]
[-0.34036561, -0.07436134,  0.06613005, -0.05998668] | [-0.34036727, -0.07435573,  0.06616348, -0.18409478]
[0.01665407, 0.26381307, 0.00917074, 0.02679925] | [0.0166541 , 0.26381307, 0.01399472, 0.04268609]
[-0.68366085, -0.15399565, -0.00441535, -0.03050864] | [-0.68366094, -0.15399529, -0.01504651, -0.06599601]
[-0.22656075,  0.00662842,  0.01718096,  0.071003  ] | [-0.22656068,  0.00663036,  0.01744155,  0.16601858]
[-0.43546217,  0.49580184,  0.03572436,  0.0211872 ] | [-0.43546892,  0.49579716,  0.03945205,  0.14789478]
[-0.31020816, -0.30974235, -0.01985946,  0.0325872 ] | [-0.31020844, -0.30974214, -0.02042861,  0.03658102]
[-0.55273446,  0.23232927, -0.00248714, -0.01532935] | [-0.5527344 ,  0.23232937, -0.00937112, -0.03497445]
[ 0.08294915,  0.10302106,  0.01862334, -0.02836275] | [ 0.08294883,  0.10302128,  0.01869254, -0.05019644]
[-1.07001054, -0.28404307,  0.01245739,  0.04785939] | [-1.07001047, -0.28404326,  0.01339857,  0.05619493]
[-0.09071162, -0.39679961,  0.06980828, -0.0095383 ] | [-0.09070828, -0.39680022,  0.07025228, -0.03888301]
[ 0.2961902 ,  0.12257272,  0.00165747, -0.01525566] | [ 0.29619024,  0.12257265,  0.01182689, -0.1665723 ]
[-0.61100569, -0.41289532, -0.03639735,  0.0266372 ] | [-0.61101025, -0.41289001, -0.036404  ,  0.12295491]
[ 0.44278853, -0.38757177, -0.04700181,  0.02950487] | [ 0.44277796, -0.38757989, -0.04952583,  0.41117143]
[-0.22615837,  0.02491036,  0.03876693, -0.01951498] | [-0.22615825,  0.02491115,  0.04137533, -0.07690318]
[ 0.23586366, -0.36928547, -0.00889875, -0.03691506] | [ 0.23586329, -0.36928565, -0.01282167, -0.10842293]
[ 0.18721885,  0.77423659, -0.00773484,  0.00317752] | [ 0.18720502,  0.77423688, -0.00840636,  0.14603207]
[-0.0089543 , -0.16831138,  0.01316389,  0.03000394] | [-0.00895447, -0.16831137,  0.02186325,  0.0973279 ]
[ 1.0931073 ,  0.3024877 , -0.00478119, -0.02001211] | [ 1.09310735,  0.30248625, -0.00577865, -0.08768814]
[-0.47391163,  0.15581485,  0.01552809,  0.02631057] | [-0.47391116,  0.15581605,  0.01613511,  0.05538791]
[-0.10774168, -0.41525686,  0.03657818,  0.00077682] | [-0.10773948, -0.41525699,  0.03861553,  0.02362266]
[-0.01041969,  0.18083064, -0.04032481,  0.03160788] | [-0.01042167,  0.18083056, -0.04171178,  0.16515805]
[ 0.82263214, -0.08820479, -0.04929746, -0.0338465 ] | [ 0.82263272, -0.08820022, -0.04934043, -0.04995997]
[ 0.36003872, -1.10698299, -0.0067836 ,  0.0235019 ] | [ 0.36004158, -1.10698237, -0.00760857,  0.36628052]
[ 0.03963567, -0.33504625, -0.03975886,  0.00306769] | [ 0.03963119, -0.33504667, -0.04002379,  0.11277944]
[ 1.2171963 , -0.76900079,  0.0205631 ,  0.04963359] | [ 1.2171963 , -0.76900212,  0.02267306,  0.05566918]
[-0.10979712,  0.08560063, -0.01376361,  0.01463977] | [-0.10979774,  0.08559998, -0.01388748,  0.14868974]
[-0.38673537,  0.11877908,  0.01918783, -0.02783915] | [-0.3867358 ,  0.11877802,  0.01918745, -0.08916265]
[-0.54706282, -0.16057382, -0.0360194 ,  0.02807213] | [-0.54706312, -0.1605731 , -0.0360911 ,  0.04196468]
[ 0.86464972,  0.08654621, -0.06473938,  0.02548468] | [ 0.86464978,  0.08653624, -0.06483471,  0.07703432]
[ 0.12907944,  0.08978289,  0.00302477, -0.02329275] | [ 0.12907945,  0.08978288,  0.00401404, -0.02553645]
[-0.17163323, -0.83068936, -0.02458284, -0.00259523] | [-0.17163735, -0.83068863, -0.02486547, -0.07072262]
[-0.46988416, -0.71997318,  0.03862757, -0.03649362] | [-0.46988477, -0.71997286,  0.038627  , -0.03746907]
[-0.09493841, -0.41627031,  0.03473159,  0.04530204] | [-0.0949365 , -0.41627062,  0.03836689,  0.06900835]
[-0.21254577, -0.40929994, -0.06317858, -0.01316317] | [-0.21254387, -0.40930053, -0.06703759, -0.07402805]
[ 0.71494345,  0.06598985, -0.03898024, -0.03557347] | [ 0.71494315,  0.06599254, -0.03900584, -0.04663964]
