[-0.45699843, -0.23329088,  0.025361  ,  0.00252212] | [-0.45699683, -0.23329288,  0.11098325,  0.0643971 ]
[0.99901919, 0.00463054, 0.06758455, 0.01811697] | [0.99901915, 0.00463629, 0.09097571, 0.10286443]
[ 0.4941032 , -0.20035798,  0.0390909 , -0.04095767] | [ 0.49409865, -0.20036651,  0.06046065, -0.06807849]
[-0.09130597, -0.03892504, -0.04654333, -0.05125063] | [-0.09130769, -0.03892173, -0.07861069, -0.06944112]
[-0.09390085, -0.27792986, -0.05803955, -0.03743558] | [-0.09390269, -0.27792946, -0.08690673, -0.06124057]
[0.91424196, 0.7174503 , 0.03078292, 0.0104603 ] | [0.91424244, 0.71744992, 0.05173947, 0.12606264]
[-0.18552095,  0.40651465, -0.02631778,  0.02297937] | [-0.18553125,  0.40651116, -0.10788112,  0.08221444]
[-0.20920839, -0.14354134,  0.00830876, -0.03338087] | [-0.20920907, -0.14354073,  0.09426872, -0.04881398]
[ 0.74203038, -0.50660662,  0.00524888,  0.00100096] | [ 0.74202822, -0.50660872,  0.09089323,  0.06769023]
[-0.0724053 ,  0.20965046,  0.00923047,  0.01425083] | [-0.07240753,  0.20964992,  0.07107584,  0.08311809]
[ 1.57510476e-01, -1.19291355e+00,  3.97118350e-04, -2.29013244e-02] | [ 0.15749175, -1.19291596,  0.07367797, -0.05128198]
[0.07607739, 0.50646744, 0.03057952, 0.01124596] | [0.07608003, 0.50646716, 0.06714702, 0.06728115]
[ 0.46098797, -0.82624299,  0.01807288,  0.00788609] | [ 0.4609932 , -0.82624099,  0.07253619,  0.05050588]
[-0.0856306 ,  0.39446928, -0.02734907,  0.0037488 ] | [-0.08563189,  0.39446905, -0.05508154,  0.03269598]
[ 0.00033322, -0.15917172,  0.0488582 , -0.0125696 ] | [ 0.00033105, -0.15917172,  0.05589163, -0.08221197]
[ 0.0375704 , -0.04508712,  0.00955447,  0.00950687] | [ 0.03757011, -0.0450873 ,  0.05367087,  0.0404609 ]
[-0.41801441, -0.44773137, -0.00360106,  0.0031522 ] | [-0.41797573, -0.44775645, -0.07718968,  0.08987864]
[ 0.0434727 ,  0.03689447,  0.06252317, -0.02411412] | [ 0.04347227,  0.03689484,  0.09125452, -0.05613263]
[0.79700684, 0.36423845, 0.02333915, 0.05844192] | [0.79700567, 0.36424022, 0.10501434, 0.10616317]
[ 0.02817288, -0.28878327, -0.01890391, -0.008559  ] | [ 0.02816677, -0.28878375, -0.05761488, -0.06276307]
[ 0.76774787, -0.12279984, -0.00195553, -0.00308323] | [ 0.76774698, -0.12280327, -0.04919004, -0.14773521]
[-0.92559766,  0.37322332,  0.01032942, -0.01879678] | [-0.92558962,  0.37324418,  0.06516261, -0.11278008]
[ 0.02727202,  0.57480194, -0.01672911,  0.05307287] | [ 0.02724774,  0.57480268, -0.10317928,  0.09731045]
[-0.00980637, -1.18406726, -0.01366218,  0.01004876] | [-0.00981056, -1.18406724, -0.10349887,  0.06626327]
[ 0.44629387, -0.03026563, -0.0661924 ,  0.02158152] | [ 0.44628522, -0.03038023, -0.08657689,  0.06831612]
[ 0.02664312, -0.0771976 ,  0.01475604, -0.05633935] | [ 0.02664255, -0.07719777,  0.05536418, -0.09481592]
[-0.25342527, -0.33609692,  0.01781608, -0.03645697] | [-0.25342944, -0.33609465,  0.09780088, -0.09726219]
[0.10749547, 0.3600766 , 0.00832573, 0.05880815] | [0.10749737, 0.36007629, 0.04715687, 0.11957196]
[-0.89111646, -0.09742663,  0.00299244,  0.00443638] | [-0.89111653, -0.09742629,  0.0367665 ,  0.06513207]
[-0.43196329,  0.02152567,  0.0168228 ,  0.01574787] | [-0.43196412,  0.02151251,  0.0907382 ,  0.0721608 ]
[-0.40528528, -0.89319848, -0.02768521, -0.01857679] | [-0.40528993, -0.89319848, -0.10712528, -0.09540936]
[-0.35776198, -0.42288597,  0.05350288, -0.01836285] | [-0.35776014, -0.42288701,  0.07553859, -0.07065111]
[-0.19229995,  0.42666992,  0.00923719, -0.03704325] | [-0.19226981,  0.42668055,  0.1038553 , -0.07525985]
[-0.70091277, -0.07316468,  0.00738462, -0.04756563] | [-0.7009166 , -0.073135  ,  0.06615724, -0.13743328]
[-0.1856569 , -0.05493115,  0.00774033,  0.02292153] | [-0.18565645, -0.05493242,  0.05229509,  0.0521715 ]
[-0.14558198, -0.3326771 ,  0.04654611, -0.00379485] | [-0.14558503, -0.332676  ,  0.06898352, -0.05751314]
[-0.0162488 , -0.95753906, -0.01863356, -0.01658607] | [-0.01625085, -0.95753903, -0.09151169, -0.06332795]
[-0.03392805, -0.07583607, -0.07019173, -0.00859496] | [-0.03392183, -0.07583849, -0.0857205 , -0.0919115 ]
[-0.55350476, -0.31433327,  0.04152879,  0.02736506] | [-0.55350503, -0.31433293,  0.09103542,  0.05033417]
[ 0.38397885,  0.56165596,  0.04692342, -0.02177849] | [ 0.3839765 ,  0.56165893,  0.08477385, -0.07655544]
[-0.45038996,  0.55461212, -0.00981201, -0.00328838] | [-0.45041198,  0.55459531, -0.09366081, -0.08145241]
[ 0.18617825,  0.20617987,  0.07191148, -0.01570711] | [ 0.18617817,  0.20617991,  0.09111897, -0.04715028]
[ 0.07967305,  0.96773161,  0.00459429, -0.00284223] | [ 0.07966079,  0.96773235,  0.09448958, -0.09036275]
[0.22489336, 0.28043833, 0.0044136 , 0.00421069] | [0.22488897, 0.28044076, 0.07984143, 0.06738044]
[ 0.18720142, -0.6321715 , -0.02060488, -0.06398664] | [ 0.18719519, -0.63217244, -0.09473367, -0.08351696]
[ 0.04755237, -0.09223774, -0.00615945,  0.07026508] | [ 0.04754447, -0.09224127, -0.08815665,  0.09074293]
[-0.03072198,  0.38091775,  0.02716758,  0.03454344] | [-0.03069155,  0.38091991,  0.08000276,  0.11043445]
[-0.61575465,  0.54951225,  0.00976615,  0.00942531] | [-0.61576241,  0.54950495,  0.09006803,  0.08875095]
[-0.27842981,  0.8739746 , -0.03458507, -0.0227616 ] | [-0.2784416 ,  0.8739719 , -0.07161326, -0.04742301]
[ 0.60047539, -0.91019711,  0.05574785,  0.00199657] | [ 0.60048526, -0.91019324,  0.07835768,  0.05961769]
[-0.24410565,  0.05742816, -0.02424655, -0.01099272] | [-0.24410572,  0.05742797, -0.1034994 , -0.053495  ]
[ 3.16444156e-01, -2.25196497e-01,  1.60679343e-04,  6.91656269e-03] | [ 0.31644366, -0.22519692,  0.0382773 ,  0.06502279]
[ 0.16808197,  0.51278114,  0.02495856, -0.00504287] | [ 0.16807706,  0.51278245,  0.07103898, -0.07539326]
[-0.06817707,  0.20572347,  0.04403988,  0.0015389 ] | [-0.06817435,  0.20572417,  0.10147345,  0.04717202]
[-0.04975597, -0.23508348,  0.01384153,  0.01943493] | [-0.04975888, -0.235083  ,  0.08499833,  0.05471777]
[-0.416953  ,  0.08223159, -0.01941275, -0.00790977] | [-0.41695261,  0.08223288, -0.03627352, -0.06970752]
[-0.11073674,  0.39234463,  0.06044506, -0.00294407] | [-0.11074624,  0.39234286,  0.09494238, -0.07620257]
[0.06001169, 0.23456645, 0.00120095, 0.00833872] | [0.06001745, 0.23456515, 0.05732471, 0.08111845]
[ 0.06131358, -0.03872085, -0.02177076, -0.04011178] | [ 0.0613133 , -0.03872117, -0.04086088, -0.05285193]
[ 0.38563142, -0.3364287 , -0.02673351, -0.00301848] | [ 0.38563134, -0.33642905, -0.08951472, -0.03381339]
[0.42993846, 0.31688261, 0.00785311, 0.00071952] | [0.42994943, 0.31687014, 0.04619118, 0.09156092]
[-1.19212402,  0.13613496, -0.02478012, -0.0220525 ] | [-1.19212411,  0.13613444, -0.10964108, -0.07452244]
[-0.5202397 ,  0.06513503,  0.00227605, -0.02601406] | [-0.52024034,  0.06513129,  0.04589483, -0.05589729]
[-0.23772579,  0.5738656 ,  0.02743818, -0.02581622] | [-0.23771715,  0.57386789,  0.11798173, -0.08417628]
[-0.52668538,  0.2996604 , -0.017396  ,  0.05720796] | [-0.52667876,  0.29967014, -0.07315002,  0.09138103]
[ 0.26580748, -0.06083473,  0.03526721, -0.03521381] | [ 0.26580765, -0.06083409,  0.10357012, -0.06490307]
[ 0.16058023,  0.77216304,  0.03492072, -0.03148658] | [ 0.16054714,  0.77216761,  0.10146766, -0.12519597]
[-0.47656671,  0.43133057, -0.01520261,  0.01531285] | [-0.47656792,  0.43132948, -0.07815035,  0.02624393]
[ 0.39352539, -0.14413081, -0.012619  , -0.0290541 ] | [ 0.39352743, -0.14412727, -0.06029433, -0.07254862]
[-0.34810959, -0.01884019,  0.02364132, -0.04347531] | [-0.3481094 , -0.01884254,  0.07695457, -0.06465515]
