-7.44392604e-01  2.30793994e-01 -6.66674077e-06 -5.60484677e-03|-0.74696576  0.22861111 -0.02858772 -0.03178728|-0.74696576 -0.02858772 -0.01505607, 0.22861111  0.00679111 -0.03178728
 9.56581234e-01 -1.38903665e-01  3.99767137e-06 -1.12330606e-02| 0.96630589 -0.14120075  0.02331967 -0.0205214 | 0.96630589  0.02331967 -0.01369   ,-0.14120075  0.00845149 -0.0205214 
 9.96869885e-01 -3.19430822e-01 -2.23907532e-06  2.84726644e-02| 1.00570549 -0.31622885  0.0094849   0.00716619| 1.00570549  0.0094849  -0.0370337 ,-0.31622885 -0.03182043  0.00716619
 0.12006317  0.45608047  0.00514224 -0.00658653| 0.12159804  0.45443928  0.00695098 -0.04314482| 0.12159804  0.00695098 -0.00275924, 0.45443928 -0.00264779 -0.04314482
-8.54354505e-02  3.26009552e-01 -5.13993886e-02 -3.63524848e-05|-0.09788077  0.3226763  -0.05079647  0.0457721 |-0.09788077 -0.05079647 -0.00240394, 0.3226763  -0.00544669  0.0457721 
-5.20667742e-01 -7.75416668e-01  1.86318889e-06  2.23640745e-07|-0.51821089 -0.76311628 -0.01684452 -0.0362887 |-0.51821089 -0.01684452 -0.01621193,-0.76311628 -0.01609021 -0.0362887 
 0.24110205 -0.1470202   0.02438461 -0.05859485| 0.25480492 -0.15187334  0.02818196 -0.00927333| 0.25480492  0.02818196 -0.01190894,-0.15187334 -0.03522204 -0.00927333
 3.87818987e-01  8.65604376e-01 -6.81004721e-07  5.35505859e-06| 3.86582331e-01  8.64176642e-01 -8.96641889e-03 -7.32047745e-04| 0.38658233 -0.00896642 -0.03680912, 8.64176642e-01 -4.22113043e-02 -7.32047745e-04
-8.39542739e-06 -4.62789094e-01 -3.75608750e-02  1.01133174e-01|-0.0142751  -0.45635646  0.01150372  0.03737989|-0.0142751   0.01150372 -0.02587772,-0.45635646  0.06848327  0.03737989
 1.14406991e+00 -8.06422534e-02  8.85491597e-06  3.28563378e-02| 1.1279796  -0.06538466  0.0401885   0.02764045|1.1279796  0.0401885  0.04069039,-0.06538466  0.02079804  0.02764045
 0.05213446 -0.26182407 -0.02967995  0.02876271| 0.0560051  -0.25887325 -0.02354615  0.01064   | 0.0560051  -0.02354615 -0.01122627,-0.25887325 -0.02700406  0.01064   
 4.05566856e-01  7.00449602e-01 -7.02422375e-02  3.86197351e-06| 0.4331458   0.69350337 -0.0500275   0.02213292| 0.4331458  -0.0500275   0.10710887, 0.69350337 -0.00262187  0.02213292
 3.67500334e-01 -2.80626888e-01  5.91826571e-02 -3.86327144e-06| 0.38369938 -0.2852145   0.07075072 -0.01204482|0.38369938 0.07075072 0.04911298,-0.2852145  -0.00813338 -0.01204482
-1.43404094e-01  9.69663802e-01 -1.62199473e-02  8.99107739e-06|-0.1431369   0.94295355 -0.03129945 -0.03146261|-0.1431369  -0.03129945 -0.01885327, 0.94295355  0.02397413 -0.03146261
 4.90336324e-01  6.36021568e-01 -1.70833663e-06  2.79379493e-06| 0.48842684  0.63015685 -0.00807089 -0.01782744| 0.48842684 -0.00807089  0.02852154, 0.63015685  0.00970143 -0.01782744
-0.29230313 -0.22509268 -0.04310517 -0.04445433|-0.30865446 -0.23428968 -0.03207289 -0.00033243|-0.30865446 -0.03207289 -0.06729458,-0.23428968  0.02750008 -0.00033243
-4.34029209e-01  3.88054170e-01 -4.58348950e-06 -2.56510049e-04|-0.43243636  0.3847389  -0.01152186 -0.0317652 |-0.43243636 -0.01152186 -0.02651094, 0.3847389   0.00057396 -0.0317652 
 3.81276882e-01 -3.48668100e-01 -5.79443902e-02 -1.24245637e-05| 0.39642174 -0.34694914 -0.06267676  0.01248169| 0.39642174 -0.06267676  0.0130486 ,-0.34694914 -0.01392599  0.01248169
-6.51826695e-01  1.13871510e+00 -4.16072900e-06  1.60895327e-06|-0.64077507  1.12545488 -0.00672329  0.02371896|-0.64077507 -0.00672329  0.04865243, 1.12545488 -0.04747112  0.02371896
 0.58502357 -0.4189974   0.05423536 -0.0204739 | 6.11320726e-01 -4.27760978e-01  5.87153239e-02 -5.53521571e-05| 0.61132073  0.05871532 -0.01350791,-4.27760978e-01 -2.39710935e-02 -5.53521571e-05
-0.19106461  0.26860752 -0.01743226 -0.08375372|-0.20219949  0.25662905 -0.00776555 -0.03416248|-0.20219949 -0.00776555 -0.01287367, 0.25662905  0.07410342 -0.03416248
 1.46378225e+00  3.96357470e-01 -1.09095045e-01 -7.98405224e-06| 1.52729373  0.39064737 -0.04592556 -0.01292804| 1.52729373 -0.04592556  0.03650083, 0.39064737  0.01644197 -0.01292804
-0.07560746  0.38831043 -0.05625859 -0.00711211|-0.0925845   0.37659605 -0.04661706 -0.04597665|-0.0925845  -0.04661706 -0.01337414, 0.37659605  0.01925085 -0.04597665
 0.22746894  0.03899377 -0.00820127 -0.09274871| 0.23609236  0.05001375 -0.00435603 -0.07020728| 0.23609236 -0.00435603  0.00571879, 0.05001375 -0.02549854 -0.07020728
-8.13820311e-01 -2.88401918e-02 -6.46539610e-02  9.68831628e-07|-0.84063586 -0.01808397 -0.07600112  0.04328443|-0.84063586 -0.07600112  0.0443516 ,-0.01808397  0.00743487  0.04328443
